Player,Country,Birthdate,ResidencyFormer,Team,Residency,Role,FavChamps,RoleLast,IsRetired,ToWildrift,AllName,Birthdate__precision
Paradox (Federico Princiotta Cariddi),Italy,2002-01-04,Europe,,EMEA,Support,,Support,0,0,Paradox (Federico Princiotta Cariddi),1
Paradox (Federico Princiotta Cariddi),Italy,2002-01-04,Europe,,EMEA,Support,,Support,0,0,Paradoxsupp,1
Paradox (Federico Princiotta Cariddi),Italy,2002-01-04,Europe,,EMEA,Support,,Support,0,0,Paradoxx,1
Paradox (Federico Princiotta Cariddi),Italy,2002-01-04,Europe,,EMEA,Support,,Support,0,0,Pradox (Federico Princiotta Cariddi),1
Paradox (Selina Stengel),Germany,1997-05-04,Europe,,EMEA,Jungle,,Jungle,0,0,Paradox (Selina Stengel),1
ParadoXical,Canada,,,,North America,Mid,"Ahri,Cassiopeia",Mid,1,0,ParadoXical,
ParadoXical,Canada,,,,North America,Mid,"Ahri,Cassiopeia",Mid,1,0,MrParadoXical,
ParadoXical,Canada,,,,North America,Mid,"Ahri,Cassiopeia",Mid,1,0,Para,
Paragon,South Korea,1995-07-27,,,Korea,Coach,"Corki,Ezreal",Assistant Coach;Bot,1,0,Paragon,1
Paragon (Will Kovall),United States,,,Maelstrom Esports,North America,Bot,"Lucian,Aphelios",Bot,0,0,Paragon (Will Kovall),
Paragon (Will Kovall),United States,,,Maelstrom Esports,North America,Bot,"Lucian,Aphelios",Bot,0,0,Paragxn,
Paralisys,United States,,,Oklahoma Christian University,North America,Support,,Support,0,0,Paralisys,
Paralysis,Greece,,,,Europe,Jungle,,Jungle,1,0,Paralysis,
Paralyze,Egypt,1995-12-02,None,Riot Games Inc.,EMEA,Caster,Janna,Caster,0,0,Paralyze,1
Paralyze,Egypt,1995-12-02,None,Riot Games Inc.,EMEA,Caster,Janna,Caster,0,0,Mike Tykoko,1
Parang,South Korea,1996-07-04,,,Korea,Top,"Jayce,Gangplank,Gnar",Top,0,0,Parang,1
Paranoia,Ukraine,1995-07-03,,,CIS,Mid,Taliyah,Mid,1,0,Paranoia,1
Paranoia,Ukraine,1995-07-03,,,CIS,Mid,Taliyah,Mid,1,0,HideFromPara,1
Parasite,South Korea,2002-10-06,,,Korea,Support,,Support,0,0,Parasite,1
Parasite,South Korea,2002-10-06,,,Korea,Support,,Support,0,0,Burning (Kim Hyo-min),1
Parasite,South Korea,2002-10-06,,,Korea,Support,,Support,0,0,GAMBLEER,1
Parasite,South Korea,2002-10-06,,,Korea,Support,,Support,0,0,GAMBLER (Kim Hyo-min),1
Parasite,South Korea,2002-10-06,,,Korea,Support,,Support,0,0,Goliath (Kim Hyo-min),1
Paresz,Hungary,2000-09-30,Europe,Cyber Wolves,EMEA,Jungle,"Lee Sin,Nidalee,Kha'Zix,Graves",Jungle,0,0,Paresz,1
Paris,Greece,1998-06-03,,,Europe,Mid,"Anivia,Taliyah,LeBlanc,Twisted Fate",Mid,1,0,Paris,1
Paris,Greece,1998-06-03,,,Europe,Mid,"Anivia,Taliyah,LeBlanc,Twisted Fate",Mid,1,0,Paris Guccis,1
Paris,Greece,1998-06-03,,,Europe,Mid,"Anivia,Taliyah,LeBlanc,Twisted Fate",Mid,1,0,ParisGRE,1
Paris,Greece,1998-06-03,,,Europe,Mid,"Anivia,Taliyah,LeBlanc,Twisted Fate",Mid,1,0,SparkS,1
Paris,Greece,1998-06-03,,,Europe,Mid,"Anivia,Taliyah,LeBlanc,Twisted Fate",Mid,1,0,Sparks (Paris Outsis-Dimitriadis),1
Paris,Greece,1998-06-03,,,Europe,Mid,"Anivia,Taliyah,LeBlanc,Twisted Fate",Mid,1,0,SparkS InB,1
Paris,Greece,1998-06-03,,,Europe,Mid,"Anivia,Taliyah,LeBlanc,Twisted Fate",Mid,1,0,Spartan (Paris Outsis-Dimitriadis),1
Paris,Greece,1998-06-03,,,Europe,Mid,"Anivia,Taliyah,LeBlanc,Twisted Fate",Mid,1,0,Tralalas,1
PARJIVAL,,,,Venus (Turkish Team),EMEA,Bot,,Bot,0,0,PARJIVAL,
Parlita,Spain,,Europe,,EMEA,Top,,Top,0,0,Parlita,
Parni,,2002-10-14,Turkey,,EMEA,Coach,"Camille,Fiora,Nocturne,Trundle",Coach,0,0,Parni,1
Parni,,2002-10-14,Turkey,,EMEA,Coach,"Camille,Fiora,Nocturne,Trundle",Coach,0,0,Parniwer,1
parol,United States,,,,North America,Bot,"Ashe,Kog'Maw",Bot,1,0,Parol,
Parr0t,United States,,,,North America,Bot,,Bot,1,0,Parr0t,
Parr0t,United States,,,,North America,Bot,,Bot,1,0,Tiny Ethan,
Parramore,United States,,,,North America,Support,,Support,0,0,Parramore,
Parramore,United States,,,,North America,Support,,Support,0,0,Flaynndappy,
Part,South Korea,1995-02-12,,,Korea,Top,,Top,1,0,Part,1
Part,South Korea,1995-02-12,,,Korea,Top,,Top,1,0,Dart,1
Part,South Korea,1995-02-12,,,Korea,Top,,Top,1,0,Firetrap,1
Parth,United States,1989-12-05,,Immortals,North America,Manager,,Consultant,0,0,Parth,1
Partidarios,South Korea,2004-10-26,,,Korea,Support,,Support,0,0,Partidarios,1
Partidarios,South Korea,2004-10-26,,,Korea,Support,,Support,0,0,A SUP (Lee Jin-myeong),1
Partidarios,South Korea,2004-10-26,,,Korea,Support,,Support,0,0,SUP (Lee Jin-myeong),1
Parus,Turkey,2003-02-22,Turkey,Team BDS Academy,EMEA,Support,,Support,0,0,Parus,1
Parvadi,Netherlands,,Europe,,EMEA,Support,,Support,0,0,Parvadi,
Parvadi,Netherlands,,Europe,,EMEA,Support,,Support,0,0,Parvani,
Parzival,Philippines,,,West Point Esports Academy,Asia Pacific,Mid,,Top,0,0,Parzival,
Parzival,Philippines,,,West Point Esports Academy,Asia Pacific,Mid,,Top,0,0,Medic (Hezro Elijah Canlas),
Parzival J,Peru,,,,Latin America,Top,,Top,1,0,Parzival J,
pasa,Hong Kong,1995-12-17,Taiwan,,LMS,Support,,Support,1,0,Pasa,1
pasa,Hong Kong,1995-12-17,Taiwan,,LMS,Support,,Support,1,0,IaMPaSa,1
Pasameelcelo,Andorra,,,,Europe,Top,,Top,1,0,Pasameelcelo,
Pascho,United States,2000-08-24,,University of Washington,North America,Mid,"Swain,Viktor,Yone,Akali",Mid,0,0,Pascho,1
Passion,Germany,,,,Europe,Top,,Top,1,0,Passion,
Passzi,Hungary,,,Lille Esport,EMEA,Support,,Support,0,0,Passzi,
Pastel,Colombia,,,,Latin America,Coach,,Head Coach,0,0,Pastel,
Pastelito,Ecuador,2002-06-06,,,Latin America,Support,,Support,0,0,Pastelito,1
Pastelito,Ecuador,2002-06-06,,,Latin America,Support,,Support,0,0,Abyss (Joel Andrade),1
Pastelito,Ecuador,2002-06-06,,,Latin America,Support,,Support,0,0,Pastelyuuki,1
Paštikus,Czech Republic,,Europe,,EMEA,Jungle,,Jungle,0,0,Paštikus,
Paštikus,Czech Republic,,Europe,,EMEA,Jungle,,Jungle,0,0,Pastikuss,
Pastrytime,Australia,,,Riot Games Inc.,Asia Pacific,Caster,,Caster,0,0,Pastrytime,
Pastrytime,Australia,,,Riot Games Inc.,Asia Pacific,Caster,,Caster,0,0,Pastry Time,
Pasu,Germany,,,All for One Gaming,EMEA,Jungle,,Jungle,0,0,Pasu,
Pat (Patrick Lefort),Canada,1994-10-28,,,North America,Support,"Evelynn,Lee Sin,Elise",Support,1,0,Pat (Patrick Lefort),1
Pat (Patrick Lefort),Canada,1994-10-28,,,North America,Support,"Evelynn,Lee Sin,Elise",Support,1,0,Patou,1
Pat (Patrick Lefort),Canada,1994-10-28,,,North America,Support,"Evelynn,Lee Sin,Elise",Support,1,0,Titours,1
PatateVolante,France,1999-05-03,,,Europe,Jungle,"Zac,Jarvan IV,Lillia,Olaf",Jungle,1,0,PatateVolante,1
PatateVolante,France,1999-05-03,,,Europe,Jungle,"Zac,Jarvan IV,Lillia,Olaf",Jungle,1,0,Patate,1
Patch (Han Seung-min),South Korea,2001-09-22,,Dark Passage,Korea,Support,,Support,0,0,Patch (Han Seung-min),1
Patch (Han Seung-min),South Korea,2001-09-22,,Dark Passage,Korea,Support,,Support,0,0,Catch (Han Seung-min),1
Patch (Han Seung-min),South Korea,2001-09-22,,Dark Passage,Korea,Support,,Support,0,0,Seng min,1
Patch (Han Seung-min),South Korea,2001-09-22,,Dark Passage,Korea,Support,,Support,0,0,Seung min,1
Patch (Pat McDonald),United States,,,Illinois Wesleyan University,North America,Coach,,Analyst,0,0,Patch (Pat McDonald),
Pater,United States,2000-09-17,,Illinois State University,North America,Coach,,Coach,0,0,Pater,1
Pathreek,Slovakia,2000-12-02,,,EMEA,Jungle,"Sejuani,Maokai,Zac",Jungle,0,0,Pathreek,1
Patience,Taiwan,,,,PCS,Jungle,,Jungle,1,0,Patience,
Patience,Taiwan,,,,PCS,Jungle,,Jungle,1,0,Bermix,
Patience,Taiwan,,,,PCS,Jungle,,Jungle,1,0,Kycz,
Patience (Malek Houcine),Tunisia,,,,EMEA,Bot,,Bot,0,0,Patience (Malek Houcine),
Patience (Malek Houcine),Tunisia,,,,EMEA,Bot,,Bot,0,0,Rekkles (Malek Houcine),
Patkica,Serbia,,Europe,Ici Japon Corp. Esport,EMEA,Top,,Top,0,0,Patkica,
Patkica,Serbia,,Europe,Ici Japon Corp. Esport,EMEA,Top,,Top,0,0,Patkicaa,
PATKUB,Thailand,,,,SEA,Top,,Top,1,0,PATKUB,
Patosh,Czech Republic,2001-08-11,Europe,,EMEA,Coach,"Akali,Syndra",Coach,0,0,Patosh,1
Patosh,Czech Republic,2001-08-11,Europe,,EMEA,Coach,"Akali,Syndra",Coach,0,0,Patos,1
Patosh,Czech Republic,2001-08-11,Europe,,EMEA,Coach,"Akali,Syndra",Coach,0,0,Potošando,1
Patoy,United States,1993-03-04,,,North America,Support,,Support,1,0,Patoy,1
Patrick (Luis Romero),Mexico,,,,Latin America,Top,,Top,1,0,Patrick (Luis Romero),
Patrik,Czech Republic,2000-04-07,Europe,GIANTX,EMEA,Bot,"Caitlyn,Ezreal,Varus",Bot,0,0,Patrik,1
Patrik,Czech Republic,2000-04-07,Europe,GIANTX,EMEA,Bot,"Caitlyn,Ezreal,Varus",Bot,0,0,Godhimself,1
Patrik,Czech Republic,2000-04-07,Europe,GIANTX,EMEA,Bot,"Caitlyn,Ezreal,Varus",Bot,0,0,Sheriff,1
Patrik,Czech Republic,2000-04-07,Europe,GIANTX,EMEA,Bot,"Caitlyn,Ezreal,Varus",Bot,0,0,Thale,1
Patron,Brazil,,,Izanagi eSports,Brazil,Coach,,Head of Sports,0,0,Patron,
Patryk,Poland,,,,Europe,Top,,Top,1,0,Patryk,
Patryk,Poland,,,,Europe,Top,,Top,1,0,Lena,
Pattarek,Germany,1997-12-08,,,Europe,Support,Sett,Support,1,0,Pattarek,1
Patu,Australia,,,,Oceania,Support,,Support,1,0,Patu,
PaTwo,Costa Rica,,,,Latin America,Support,,Support,1,0,PaTwo,
PatxiPirata,Spain,2004-10-26,,Dream Makers,EMEA,Top,"K'Sante,Olaf,Gwen",Top,0,0,PatxiPirata,1
PatxiPirata,Spain,2004-10-26,,Dream Makers,EMEA,Top,"K'Sante,Olaf,Gwen",Top,0,0,BlaiK,1
PatxiPirata,Spain,2004-10-26,,Dream Makers,EMEA,Top,"K'Sante,Olaf,Gwen",Top,0,0,PatxiElPira,1
PatxiPirata,Spain,2004-10-26,,Dream Makers,EMEA,Top,"K'Sante,Olaf,Gwen",Top,0,0,PatxiElPirata,1
PauFerran,,,Europe,Universae Instituto FP,EMEA,Support,,Manager,0,0,PauFerran,
PauFerran,,,Europe,Universae Instituto FP,EMEA,Support,,Manager,0,0,ElTrabuc,
PauFerran,,,Europe,Universae Instituto FP,EMEA,Support,,Manager,0,0,Pau,
Paul,Taiwan,,Taiwan,,PCS,Coach,,Head Coach,1,1,Paul,
Paul Alrod,Costa Rica,1992-03-23,,,Latin America,Caster,Nami,Caster,0,0,Paul Alrod,1
Paul Alrod,Costa Rica,1992-03-23,,,Latin America,Caster,Nami,Caster,0,0,Paul (Pablo Álvarez),1
Paul227,Germany,2003-02-13,Europe,,EMEA,Mid,,Mid,0,0,Paul227,1
Paulaeal,Chile,,LAS,,Latin America,Owner,Vayne,Owner,1,0,Paulaeal,
Paulaeal,Chile,,LAS,,Latin America,Owner,Vayne,Owner,1,0,Naet,
PAULOLAX,France,1992-12-26,Europe,RED OUAT,EMEA,Caster,"Yorick,Darius,Bard,Braum",Coach,0,0,PAULOLAX,1
Paulopette,France,,,,Europe,Jungle,,Jungle,1,0,Paulopette,
Pauporter,Spain,2004-09-22,,Barça eSports,EMEA,Mid,,Mid,0,0,Pauporter,1
Paush,Tunisia,,,,None,Support,,Support,1,0,Paush,
Pavelov,Poland,2003-01-25,Europe,Vitality.Bee,EMEA,Coach,"Gragas,Bard",Positional Coach,0,0,Pavelov,1
Pavelov,Poland,2003-01-25,Europe,Vitality.Bee,EMEA,Coach,"Gragas,Bard",Positional Coach,0,0,PAWEŁ PL,1
Pavelov,Poland,2003-01-25,Europe,Vitality.Bee,EMEA,Coach,"Gragas,Bard",Positional Coach,0,0,PAWEŁPL,1
Pavkyn,Czech Republic,2000-03-08,,,Europe,Jungle,"Graves,Hecarim,Karthus,Zac",Jungle,1,0,Pavkyn,1
Pavlikac,Czech Republic,,,,EMEA,Jungle,,Jungle,0,0,Pavlikac,
Pawko,Poland,2001-05-15,,,Europe,Bot,Ezreal,Bot,1,0,Pawko,1
PawN,South Korea,1997-01-26,,,Korea,Coach,"Fizz,Nidalee,Jayce",Coach,0,0,PawN,1
PawN,South Korea,1997-01-26,,,Korea,Coach,"Fizz,Nidalee,Jayce",Coach,0,0,WonSEok,1
PawN,South Korea,1997-01-26,,,Korea,Coach,"Fizz,Nidalee,Jayce",Coach,0,0,WonSuck,1
Pawned,Spain,,Europe,,EMEA,Coach,,Assistant Coach,0,0,Pawned,
PawnGypsy,United States,1993-02-09,,,North America,Top,"Rengar,Olaf,Irelia",Top,1,0,PawnGypsy,1
pawp,Turkey,2000-06-10,Europe,,EMEA,Jungle,"Lee Sin,Nidalee,Jarvan IV,Rek'Sai",Jungle,0,0,Pawp,1
Paws,Australia,,,,Oceania,Support,,Support,1,0,Paws,
Pawsu,United States,,,,North America,Bot,,Bot,1,0,Pawsu,
Paxii,Germany,1996-08-30,Europe,BRUTE,EMEA,Coach,,Positional Coach,0,0,Paxii,1
Payne,Taiwan,1992-03-07,Taiwan,,Asia Pacific,Coach,,Coach,1,0,Payne,1
Payne,Taiwan,1992-03-07,Taiwan,,Asia Pacific,Coach,,Coach,1,0,Hua (Tai Hao-Chuan),1
Paz,Japan,1996-12-06,Japan,Sengoku Gaming,Asia Pacific,Coach,Fiora,Coach,0,0,Paz,1
Paz,Japan,1996-12-06,Japan,Sengoku Gaming,Asia Pacific,Coach,Fiora,Coach,0,0,Intension,1
Paz,Japan,1996-12-06,Japan,Sengoku Gaming,Asia Pacific,Coach,Fiora,Coach,0,0,TRIPIS 1,1
Paz,Japan,1996-12-06,Japan,Sengoku Gaming,Asia Pacific,Coach,Fiora,Coach,0,0,TRIPIS1,1
Paz,Japan,1996-12-06,Japan,Sengoku Gaming,Asia Pacific,Coach,Fiora,Coach,0,0,Zenoo,1
Pbd,Turkey,1997-08-12,Turkey,,EMEA,Support,,Support,0,0,Pbd,1
pbO,Brazil,,,,Brazil,Bot,"Graves,Sivir,Kalista,Tristana",Bot,1,0,PbO,
PCL (Kostyantyn Dudarchuk),Ukraine,2000-01-25,,Illinois State University,North America,Top,,Top,0,0,PCL (Kostyantyn Dudarchuk),1
PCL (Kostyantyn Dudarchuk),Ukraine,2000-01-25,,Illinois State University,North America,Top,,Top,0,0,PieCakeLord,1
PCmaz,Taiwan,,,,LMS,Support,,Support,1,0,PCmaz,
PDD,China,1991-04-17,,,China,Owner,"Jarvan IV,Vladimir,Shen,Yorick,Kha'Zix,Rumble,Zac",Founder;Head Coach,0,0,PDD,1
PDD,China,1991-04-17,,,China,Owner,"Jarvan IV,Vladimir,Shen,Yorick,Kha'Zix,Rumble,Zac",Founder;Head Coach,0,0,PDD520,1
Pdr,Brazil,,,,Brazil,Coach,,Coach,1,0,Pdr,
Pdrolo,Ecuador,,,,LAN,Top,,Top,1,0,Pdrolo,
peace (Hong Yoon-seon),South Korea,2004-10-15,,,Korea,Support,,Support,0,0,Peace (Hong Yoon-seon),1
Peace (Lin Shang-Ren),China,2000-07-07,,,China,Support,,Support,1,0,Peace (Lin Shang-Ren),1
Peace (Lin Shang-Ren),China,2000-07-07,,,China,Support,,Support,1,0,Panfeng,1
Peace (Lin Shang-Ren),China,2000-07-07,,,China,Support,,Support,1,0,Xyy,1
Peaceful,Lithuania,,Europe,,EMEA,Support,,Bot,0,0,Peaceful,
Peaceful,Lithuania,,Europe,,EMEA,Support,,Bot,0,0,Justas,
PeaceMaker,Brazil,,Europe,,EMEA,Support,,Support,0,0,PeaceMaker,
PeaceMaker,Brazil,,Europe,,EMEA,Support,,Support,0,0,Limitless (Lucas Perez),
PeaceMaker,Brazil,,Europe,,EMEA,Support,,Support,0,0,Metro Fan,
Peach,South Korea,2000-03-28,,GIANTX Academy,Korea,Jungle,,Jungle,0,0,Peach,1
Peachy,Mexico,,,INFINITY Female,Latin America,Mid,"Rumble,Seraphine,Lux,Nidalee",Mid,0,0,Peachy,
peagod,Turkey,,Turkey,NONAME (Turkish Team),EMEA,Bot,,Bot,0,0,Peagod,
Peaker,Austria,,Europe,,EMEA,Mid,,Mid,0,0,Peaker,
Peanut,South Korea,1998-02-03,,Hanwha Life Esports,Korea,Jungle,"Elise,Lee Sin,Nidalee,Sejuani,Kha'Zix,Olaf",Jungle,0,0,Peanut,1
Peanut,South Korea,1998-02-03,,Hanwha Life Esports,Korea,Jungle,"Elise,Lee Sin,Nidalee,Sejuani,Kha'Zix,Olaf",Jungle,0,0,Peanut0,1
Peanut (Marcus Edborg),Sweden,,,,Europe,Jungle,,Jungle,1,0,Peanut (Marcus Edborg),
Peap,Denmark,,,,Europe,Support,,Support,1,0,Peap,
Peche,Costa Rica,,,,Latin America,Jungle,,Jungle,1,0,Peche,
Peche (Quantin Piveteau),,,Europe,Kinder ratio,EMEA,Jungle,,Jungle,0,0,Peche (Quantin Piveteau),
Pechengo,Argentina,,,,LAS,Top,,Top,1,0,Pechengo,
Pecho Frio,Mexico,,,,Latin America,Bot,,Bot,1,0,Pecho Frio,
Pechowy,Chile,,,,LAS,Jungle,,Jungle,1,0,Pechowy,
Pecko,South Korea,,,,Korea,Bot,,Bot,1,0,Pecko,
Pecko,South Korea,,,,Korea,Bot,,Bot,1,0,Speedcore,
Peco (Bernardo Reis),Brazil,,,RED Academy,Brazil,Mid,"Twisted Fate,Corki,Viktor,Akali",Mid,0,0,Peco (Bernardo Reis),
Peco (Ömer Türgüt),Germany,2001-06-18,Turkey,FC Schalke 04 Esports,EMEA,Bot,,Bot,0,0,Peco (Ömer Türgüt),1
Peco (Ömer Türgüt),Germany,2001-06-18,Turkey,FC Schalke 04 Esports,EMEA,Bot,,Bot,0,0,Pec0,1
Peco (Ömer Türgüt),Germany,2001-06-18,Turkey,FC Schalke 04 Esports,EMEA,Bot,,Bot,0,0,Practice (Ömer Türgüt),1
Pecora,,2000-08-15,Europe,,EMEA,Bot,"Jinx,Kog'Maw,Ashe",Bot,0,0,Pecora,1
Pecotte1,Japan,,,,Japan,Support,,Support,1,0,Pecotte1,
Pecotte1,Japan,,,,Japan,Support,,Support,1,0,Pekopeko,
PederseNN,Denmark,,Europe,,EMEA,Support,,Support,0,0,PederseNN,
PederseNN,Denmark,,Europe,,EMEA,Support,,Support,0,0,FLEXIBLE,
PederseNN,Denmark,,Europe,,EMEA,Support,,Support,0,0,Pedersen,
Pedro,Puerto Rico,,,,LAN,Top,"Cassiopeia,Riven,Gnar",Top,1,0,Pedro,
Pedro (Pedro Canela),United States,,,,North America,Support,"Thresh,Braum,Leona",Support,0,0,Pedro (Pedro Canela),
Peeco2,Italy,2002-11-22,,,Europe,Jungle,,Jungle,1,0,Peeco2,1
Peeco2,Italy,2002-11-22,,,Europe,Jungle,,Jungle,1,0,KiritoKun22,1
Peeco2,Italy,2002-11-22,,,Europe,Jungle,,Jungle,1,0,Peeco,1
PeehSmite,Hong Kong,,,,LMS,Jungle,,Jungle,1,0,PeehSmite,
PeehSmite,Hong Kong,,,,LMS,Jungle,,Jungle,1,0,One2Free,
Peep,Argentina,2000-11-08,,,Latin America,Bot,,Bot,0,0,Peep,1
Peep,Argentina,2000-11-08,,,Latin America,Bot,,Bot,0,0,EIijah,1
Peep,Argentina,2000-11-08,,,Latin America,Bot,,Bot,0,0,Elijah (Lucas Quintanilla),1
Peet,,,,,Europe,Mid,,Mid,1,0,Peet,
Pegasus,Greece,,Europe,Zerolag Esports,EMEA,Manager,"Blitzcrank,Nautilus,Cassiopeia,Kai'Sa",Team Manager,0,0,Pegasus,
Pehrson,Denmark,1997-11-28,Europe,,EMEA,Support,"Nautilus,Braum,Pyke,Rakan",Support,0,0,Pehrson,1
Peinik,Czech Republic,2000-12-29,Europe,,EMEA,Support,,Support,0,0,Peinik,1
Pekes,Spain,,Europe,,EMEA,Jungle,,Jungle,0,0,Pekes,
Peki,Serbia,,Europe,,EMEA,Support,,Support,0,0,Peki,
PekiDo,Ukraine,,,,CIS,Mid,,Mid,1,0,PekiDo,
Pekin Woof,United States,1994-04-09,,,North America,Mid,"Zoe,Veigar,Aurelion Sol",Mid,1,0,Pekin Woof,1
Pekls,United States,,,,North America,Coach,,Head Coach;Bot,1,0,Pekls,
Pelirrojo,Colombia,1998-05-11,Latin America North,,Latin America,Mid,"Diana,Zoe,Galio",Mid,1,0,Pelirrojo,1
Pelirrojo,Colombia,1998-05-11,Latin America North,,Latin America,Mid,"Diana,Zoe,Galio",Mid,1,0,Wan (Pedro Molina),1
Pelo,France,2000-10-22,Europe,,EMEA,Jungle,"Lee Sin,Nidalee,Graves",Jungle,0,0,Pelo,1
Pelu (Jonathan Morales Campero),Spain,,Europe,,EMEA,Top,,Top,0,0,Pelu (Jonathan Morales Campero),
Peluca,Argentina,1999-11-03,,,Latin America,Top,,Top,1,0,Peluca,1
Peluca,Argentina,1999-11-03,,,Latin America,Top,,Top,1,0,PeIuca,1
Peluchin,Mexico,1993-09-14,LAN,,Latin America,Coach,"Caitlyn,Vayne,Jinx,Zed",Head Coach,0,0,Peluchin,1
Peluchin,Mexico,1993-09-14,LAN,,Latin America,Coach,"Caitlyn,Vayne,Jinx,Zed",Head Coach,0,0,Diesel (Roberto Ponce),1
Peluchin,Mexico,1993-09-14,LAN,,Latin America,Coach,"Caitlyn,Vayne,Jinx,Zed",Head Coach,0,0,ELPERRON,1
Peluchin,Mexico,1993-09-14,LAN,,Latin America,Coach,"Caitlyn,Vayne,Jinx,Zed",Head Coach,0,0,Generalmint,1
Peluchin,Mexico,1993-09-14,LAN,,Latin America,Coach,"Caitlyn,Vayne,Jinx,Zed",Head Coach,0,0,Roberto,1
Peluchin,Mexico,1993-09-14,LAN,,Latin America,Coach,"Caitlyn,Vayne,Jinx,Zed",Head Coach,0,0,RUA,1
Pencil,Italy,,Europe,HVFC Bakeca Academy,EMEA,Owner,,Head Coach,0,0,Pencil,
Pendulum,Peru,1997-04-27,Latin America South,,Latin America,Mid,"Syndra,Ahri,Taliyah,Swain",Mid,1,0,Pendulum,1
Peng (Lin Xiao-Peng),China,,,,China,Support,,Support,1,0,Peng (Lin Xiao-Peng),
Peng (Peng Yi-Bo),China,1995-11-25,,,China,Mid,,Mid,1,0,Peng (Peng Yi-Bo),1
Peng (Peng Yi-Bo),China,1995-11-25,,,China,Mid,,Mid,1,0,妄言,1
Peng (Pengcheng Shen),China,2004-03-18,Europe,GameWard,EMEA,Mid,"Ahri,Syndra,Orianna",Mid,0,0,Peng (Pengcheng Shen),1
