OverviewPage,Short,Location,Region,IsDisbanded,RenamedTo
Wizard esports,WIZ,Norway,Europe,1,
Wizards,WIZ,Spain,EMEA,1,
WLGaming Esports,WLG,Greece,EMEA,0,
WNKR,WNKR,Italy,Europe,1,
Wolf Club Esports,WCE,Chile,Latin America,1,
Wonder Stag e-Sports,WSE,Hungary,EMEA,0,
World Class Empyreans,WCE,United States,North America,1,
Wortex Gaming,WTX,Estonia,Europe,1,
WP Gaming,WP,,Brazil,1,
WR Builds Flame Horizon,WRF,,North America,0,
WSystem e-Sports Club,wSys,Spain,Europe,1,
WuDu,WD,China,China,1,Snake WuDu
Wulf Pack,WP,United States,North America,1,
WYDream,WYD,China,China,1,
Wygers Argentina,WYG,Argentina,Latin America,1,
Wygers Colombia,WYG,Colombia,Latin America,1,
X25 Esports,X25,Serbia,Europe,1,
X6tence,x6,Spain,Europe,1,
X6tence Academy,x6.A,Spain,Europe,1,
X6tence Mexico,x6.M,Spain,Latin America,1,
X7 Ascent,X7.A,United Kingdom,Europe,1,
X7 Esports,X7,Isle of Man,Europe,1,
XAL Esports,XAL,United Kingdom,Europe,1,
Xan,XAN,,SEA,1,
Xavier Esports,XAV,Thailand,SEA,1,
XD Prinfor,XD,Portugal,Europe,1,Prinfor Esports Club
XD Prinfor B,XD.B,Portugal,Europe,1,
XDG Gaming,XDG,United States,North America,1,
Xenics,XEN,South Korea,Korea,1,
Xenics Blast,XB,South Korea,Korea,1,
Xenics Storm,XS,South Korea,Korea,1,
Xgame,XG,,SEA,1,
XO Esports,XO,Saudi Arabia,EMEA,0,
Xoldiers,XOL,Spain,EMEA,1,
Xora Esports,XE,,North America,0,
XPG Invicta,XPG,Poland,Europe,1,
XT Esports,XT,United States,North America,1,
XTEN Esports,XTN,,Latin America,1,
XTEN Mexico,XTN.M,Mexico,Latin America,1,
XTGN,XTGN,North America,North America,1,LB Gurb Nation
XtremeDominators,XD,Slovenia,EMEA,1,
XY Esports,XY,Iceland,Europe,1,
XYZ (Korean Team),XYZ,South Korea,Korea,1,
Y so E-Sports,YSO,Canada,North America,1,
Yalla Esport,YL,Poland,EMEA,1,
YDN Elysium,YDN.E,Italy,Europe,1,
YDN Esports,YDN,Italy,Europe,1,
YDN Legion,YDN.L,Italy,Europe,1,
Ye Olde League Organization,Y.O.L.O.,North America,North America,1,
YeaH! Gaming,YeaH,Brazil,Brazil,1,
Yellow Stripes,V,France,EMEA,1,
York University,YU,,North America,0,
YouCantStopMe,YCSM,Hong Kong,LMS,1,
Young Boss,YB,South Korea,Korea,1,
Young Buffalo,YB,Vietnam,Vietnam,0,
Young Buffalos,YB,,North America,1,
Young Generation,YGE,Vietnam,Vietnam,1,Phong Vũ Buffalo
Young Glory,YG,China,China,1,
Young Miracles,YM,China,China,1,
Young Ninjas,YN,Sweden,China,1,Ji Jie Hao
Your Exit,YE,Europe,CIS,1,
Your Soul Shall Chuffer,YSSC,Australia,Oceania,1,
Youth Warriors,YW,Taiwan,PCS,1,
YouthCrew Esports,YC,Turkey,Turkey,1,
Yutoru,YTR,Italy,EMEA,1,
ZAGA Talent Gaming,ZTG,El Salvador,LAN,1,
Žalgiris Esports,ZAL,Lithuania,Europe,1,
ZeBopSquad,ZEBO,United States,North America,1,
Zeeman,ZEE,,Europe,1,
Zen Aïe Tea Refugees,ZAT,,Europe,1,Adverse
Zen Esports,ZEN,,North America,0,
Zena Esports Portugal,ZNE,Italy,EMEA,0,
Zenigma,ZEN,,North America,0,
Zenigma Eclipse,ZEN.E,,North America,1,
Zenigma Lunar,ZEN.L,,North America,1,
Zenigma Solar,ZEN.S,,North America,1,
Zenith Esports,ZEN,North America,North America,0,
ZennIT,ZNT,,EMEA,0,
ZentaX Esports,ZTX,,Europe,1,
Zephyr E-Sport White,ZPR.W,France,Europe,1,
Zephyr Esport,ZPR,France,Europe,1,
Zephyr Esport Academy,ZPR.A,France,Europe,1,
Zephyr Esport Red,ZPR.R,France,Europe,1,
Zerance,ZER,France,EMEA,0,
Zero Six PowerSpike,06,,Europe,1,
Zero Tenacity,Z10,Serbia,EMEA,0,
Zerolag Esports,HELL,Greece,EMEA,0,
Zerolag Esports Academy,ZRL.A,Greece,Europe,1,
ZeroSeven Gera,07,Germany,Europe,1,
ZeroZone Gaming,ZZG,Portugal,EMEA,0,
ZETA,ZTA,Spain,EMEA,0,
Zeta Team,Z,Italy,Europe,1,
Zeu5 Bogota,Z5,Colombia,Latin America,1,
Zeu5 Gaming,Z5,Colombia,LAN,1,
Zeus Kralik,Z5K,Colombia,Latin America,1,
Zodiac Esports,ZDC,,North America,1,
Zoltak Legion,ZK,Chile,LAS,1,
ZONE eSports,ZONE,Turkey,Turkey,1,
Zooby's Kittens,ZBY,,North America,1,
Zoos Gaming,ZOO,,North America,1,
ZOTAC United,ZOT,Vietnam,SEA,1,
ZTR Gaming,ZTR,China,China,1,
Zwan Gaming,ZWN,Costa Rica,Latin America,1,
Zwan Gaming Colombia,ZWN.C,Costa Rica,Latin America,1,
Zwan Gaming Mexico,ZWN.M,Costa Rica,Latin America,1,
Zylant Esports,ZLT,Mexico,Latin America,1,
TBA (North American Team),TBA,,North America,1,
TCM Gaming,TCM,United Kingdom,Europe,1,
TDC Esports,TDC,Spain,EMEA,1,
Team 58ers,58ers,Brazil,Brazil,1,
Team 7AM,7AM,Europe,EMEA,1,
Team 7AM Academy,7AM.A,Europe,Europe,1,
Team 8,T8,North America,North America,1,
Team Acer,ACER,Germany,Europe,1,
Team Acer Poland,ACER.PL,Poland,Europe,1,
Team Afro,AFR,Taiwan,LMS,1,
Team Amazigh,AMZ,Tunisia,EMEA,1,
Team Ambition,TA,,North America,1,
Team Ambition Black,TAB,,North America,1,
Team Ambition Blaze,TAB,,North America,1,
Team Ambition Red,TAR,,North America,1,
Team Ambition Sussy,TAS,,North America,1,
Team Amelia,AML,Italy,Europe,1,
Team ANG,ANG,Peru,LAN,1,
Team Anomaly Breaker,TAB,,Latin America,0,
Team Arcade,TA,Netherlands,Europe,1,
Team Arena Online,TAO,North America,North America,1,Team Dragon Knights
Team Ares,TAR,,North America,1,
Team Ascent,ACT,Poland,Europe,1,
Team Astral Poke,TAP,,North America,1,
Team Atlantis,ATL,Lithuania,Europe,1,
Team Atlantis Baltics,ATL.B,Lithuania,Europe,1,
Team AURORA,AUR,Turkey,Turkey,1,
Team AURORA Academy,AUR.A,Turkey,Turkey,1,
Team awp,AWP,Brazil,Brazil,1,
Team Aze,AZE,Mexico,Latin America,1,
Team BattleComics,BtC,South Korea,Korea,1,
Team BDS,BDS,Switzerland,EMEA,0,
Team BDS Academy,BDSA,Switzerland,EMEA,0,
Team BDS Valkyries,BDS.V,Switzerland,EMEA,0,
Team Black (Dutch Team),BLK,Netherlands,Europe,1,
Team BLACK (European Team),BLACK,Europe,Europe,1,
Team BlackEye,TBE,Japan,Japan,1,
Team Bliss,TB,Australia,Asia Pacific,0,
Team Brickz,BKZ,,North America,1,
Team Cappadocia,CAP,Turkey,Turkey,1,
Team Charon,CHRN,South Korea,Korea,0,
Team Clarity,CLR,,North America,0,
Team Cloud Drake (NASG Team),CLD,,North America,1,
Team Coachify,CFY,,North America,1,
Team Coast,CST,North America,North America,1,
Team Coast Gold,CST Gold,Europe,Europe,1,
Team Confusion,CONF,United States,North America,1,
Team Corgi,CRG,Singapore,SEA,1,
Team Curse,CRS,North America,North America,1,Team Liquid
Team Curse Europe,CEU,,Europe,1,Team LoLPro
Team Curse OCE,CRS.O,North America,Oceania,1,
Team Dark,Dark,South Korea,Korea,1,
Team Death Knights,TDK,,North America,1,
Team DeftFox,DFX,Germany,Europe,1,
Team Differential,Diff,Russia,CIS,1,
Team Dignitas EU,DEU,United Kingdom,Europe,1,
Team Dignitas OCE,d OCE,United Kingdom,Oceania,1,
Team Dignitas UK,d UK,United Kingdom,Europe,1,
Team Dizzy,DIZZ,,North America,0,
Team DK,DK,China,China,1,
Team DPD,DPD,,Europe,1,
Team Dragon Knights,TDK,North America,North America,1,
Team Du Sud,TDS,France,EMEA,1,
Team Dynamic,DYN,North America,North America,1,
Team Dynamics,DYN,South Korea,Korea,1,Nongshim RedForce
Team Dynamics Academy,DYN.A,South Korea,Korea,1,Nongshim RedForce Academy
Team Dynasty,Dynasty,Greece,Europe,1,
Team E Turner,TET,,North America,1,
Team EasyFix Co-Hop,EFC,,Europe,1,
Team Echo Zulu,EZ,Netherlands,Europe,1,The Agency
Team Echo Zulu Tribe,EZT,,Europe,1,Echo Zulu Domme Jongens
Team Eloblade,ELOB,Europe,Europe,1,
Team Empire,EMP,Russia,CIS,1,
Team Empire (Malaysian Team),EMP,Malaysia,SEA,1,Axis Empire
Team EnVyUs,NV,United States,North America,1,
Team ESCA Gaming,ESCA,Poland,EMEA,1,
Team ESCA Gaming Female,ESCA.F,Poland,Europe,1,
Team Exile5,X5,Australia,Oceania,1,
Team EYA,EYA,France,EMEA,0,
Team Falcons,FLC,Saudi Arabia,EMEA,0,
Team FeaR,FR,United States,North America,1,
Team Fighter,TF,China,China,1,EDward Gaming Youth Team
Team Fire,Fire,,International,0,
Team Fish Taco,TACO,United States,North America,0,
Team Flash.Singapore,FL,Singapore,SEA,1,
Team Flash.Vietnam,TF,Singapore,Vietnam,0,
Team Flux,FLUX,,Europe,1,
Team Forge,4G,Italy,Europe,1,
Team Forge Academy,4GA,Italy,Europe,1,
Team Forge Ichnos,4GI,Italy,Europe,1,
Team Fracture,TF,,North America,1,
Team FragZone,FZ,Denmark,Europe,1,
Team Front,TF,United States,North America,1,
Team Frostbite,TFB,North America,North America,1,
Team Furca,FA,Czech Republic,Europe,1,
Team Fusion,FSN,North America,North America,1,
Team gamed!de,GDE,Germany,Europe,1,
Team Gates,TG,United States,North America,1,
Team Genesis,GEN,Brazil,Brazil,1,
Team Genji,Genji,Greece,Europe,1,
Team GMask,GMK,Spain,EMEA,0,
Team GO,GO,France,EMEA,0,
Team GO Aurora,GOA,France,EMEA,0,
TEAM GR1,GR1,Poland,EMEA,1,
Team Green Forest,TGF,North America,North America,1,
Team Heretics,TH,Spain,EMEA,0,
Team Hex,HEX,,MENA,1,
Team Horizon Reapers,THR,,Europe,1,
Team Hunters,TH,South Korea,Korea,1,
Team Hurricane,TH,China,China,1,
Team Ice,Ice,,International,0,
Team Imagine,IMG,North America,North America,1,
Team Immunity,IM,Australia,Oceania,1,
Team Impulse,TIP,North America,North America,1,
Team Infamous,IFM,,Europe,1,
Team Infernal Drake (NASG Team),INF,,North America,1,
Team Infinite,IFN,Thailand,SEA,1,
Team Infused,INF,United Kingdom,Europe,1,
Team Innova,i9,Brazil,Brazil,1,
Team Insidious,IN5,Greece,EMEA,0,
Team Just,TJ,Russia,CIS,1,
Team Just Alpha,Just A,Russia,CIS,1,
Team Just Challenger,TJ.C,Russia,CIS,1,Team Just Ice
Team Just Ice,J.ICE,Russia,CIS,1,
Team Kamikaze,KMZ,Japan,Japan,1,
Team King,KNG,China,China,1,
Team KTHXBAI,KTHXBAI,Malaysia,SEA,1,
Team KungFu,TKF,China,China,1,
Team Legion,LgN,United States,North America,1,
Team Legion (Benelux Team),TL,France,Europe,1,
Team Legion (Greek Team),TLG,Greece,EMEA,1,
Team Liquid,TL,Netherlands,North America,0,
Team Liquid Academy,TL.A,Netherlands,North America,1,Team Liquid Challengers
Team Liquid Challengers,TLC,Netherlands,North America,0,
Team Liquid First,TLF,Netherlands,North America,1,
Team Livemore,LM,China,China,1,
Team LoL Cave,TLC,Argentina,LAS,1,
Team LoLPro,PRO,North America,North America,1,
Team Majesty,MAJ,Tunisia,MENA,1,
Team Manila Eagles,TME,Philippines,SEA,1,
Team Matrix,MTRX,United States,North America,1,
Team MCES,MCES,France,Europe,1,
Team MCES Academy,MCES.A,France,Europe,1,
Team MegashocK,TMsK,Germany,Europe,1,
Team Meliora,TML,Czech Republic,EMEA,0,
Team Mist,TM,Taiwan,LMS,1,
Team Mistral,MTL,France,Europe,1,
Team MoonZone,MZ,,Europe,1,
Team Moops,MPS,Czech Republic,Europe,1,
Team Mountain Drake (NASG Team),MTN,,North America,1,
Team MRN,MRN,United States,North America,1,
Team Mythic,MTH,Greece,EMEA,1,
Team NB,NB,South Korea,Korea,1,
Team Nerotec,NTC,,Europe,1,The Plan
Team Nevo,NVO,United Kingdom,Europe,1,
Team No Limit,TnL,Hong Kong,LMS,1,
Team NomNom,NOMN,,North America,1,Cloud9
Team Nv,Nv,Australia,Oceania,1,
Team nxl,nxl,Indonesia,SEA,1,
Team Occupy,OPY,Egypt,MENA,0,
Team Ocean Drake (NASG Team),OCN,,North America,1,
Team Omniscius H,TOSH,Germany,EMEA,1,HNVR Esports
Team oNe eSports,ONE,Brazil,Brazil,1,Los Grandes
Team One Shot,ONE,,Europe,1,
Team OP,OP,South Korea,Korea,1,
Team Oplon,OPL,France,Europe,1,
TEAM ORANGE,TO,China,China,1,
Team Orion,ORN,,LMS,1,
Team Orora,Orora,Turkey,Turkey,1,
Team Overclockers UK,OUK,United Kingdom,Europe,1,
Team Ozone Cutie Monsters,OZCM,Vietnam,SEA,1,
Team Paradox,TPX,Greece,EMEA,0,
Team Pending,TBA,,North America,1,
Team Phantasma,TP,Greece,EMEA,0,
Team Phantasma Community,TPC,Greece,Europe,1,
Team Phoenix,PHX,China,China,1,
Team PHZ,PHZ,Finland,Europe,1,
Team Pinnacle,TP,China,China,1,
Team Pique Sel,PXXL,,EMEA,1,
Team Plague,PLG,Hungary,EMEA,0,
Team Plink,CAT,,North America,1,Team E Turner
Team Proioxis,PRS,Singapore,SEA,1,
Team Property,prOp,Sweden,Europe,1,
Team QLASH Academy,QLS,Italy,Europe,1,
Team Queso,TQ,Spain,Europe,1,
Team Quetzal,QzL,Mexico,Latin America,1,
Team Rapid,RPD,,North America,1,
Team Refuse,RFS,Greece,EMEA,0,
Team Regicide,RGC,Australia,Oceania,1,
Team Revive,Revive,Europe,Europe,1,
Team Rigel,Rigel,Singapore,SEA,1,
Team Riverside,TRS,Germany,Europe,1,
Team RM,RM,China,China,1,
Team ROCCAT,ROC,Germany,Europe,1,
Team ROCK,ROCK,Poland,Europe,1,
Team Rocket,TR,Greece,Europe,1,
Team SalsaLoL,TSL,Spain,Europe,1,
Team Same Mordeczki,TSM,Poland,Europe,1,
Team Sampi,SMP,Czech Republic,EMEA,1,
Team Secret (Vietnamese Team),TS,Europe,Vietnam,0,
Team Secret (Vietnamese Team) Academy,TS.A,Europe,Vietnam,0,
Team Server-Forge,SF,Germany,Europe,1,
Team Singularity,SNG,Denmark,Europe,1,
Team Singularity Female,SNG.F,Denmark,Europe,1,
Team Sky,SKY,North America,North America,1,
Team Solo Mebdi,TSM,,Europe,1,
Team SoloMid Evo,TSM.E,United States,North America,1,
Team Spirit,TSPT,Russia,CIS,1,
Team Summon,TS,United States,North America,1,
Team Sypher,Sypher,Belgium,Europe,1,
Team Tempest,TMP,North America,North America,1,
Team Terrigen,TG,Thailand,SEA,1,Sinelight
Team THRLL,TRL,,Europe,1,
Team THRLL Academy,TRL.A,,Europe,1,
Team Tony Top,TTT,,North America,1,
Team TowerDiveTV,TDTV,,North America,1,
Team Turquality,TT,Turkey,Turkey,1,
Team Turquality RED,TT RED,Turkey,Turkey,1,
Team Ultra Vires,TUV,Lithuania,Europe,1,
Team United,United,Brazil,Brazil,1,
Team UNiTY,UNIT,Slovakia,EMEA,0,
Team Universe,UNI,Czech Republic,Europe,1,
Team Vitality,VIT,France,EMEA,0,
Team Vitality Academy,VIT.A,France,Europe,1,Vitality.Bee
Team Vulcun,VUL,United States,North America,1,XDG Gaming
Team W3,W3,China,China,0,
Team WE,WE,China,China,0,
Team WE Academy,WE.A,,China,0,
Team WE Dreams,WED,China,China,0,
Team WE Future,WEF,China,China,1,Mighty Eagle
Team WeForge,WFE,France,Europe,1,
Team Whales,TW,Vietnam,Vietnam,0,
Team WinFakt,WinFakt,Belgium,Europe,1,
Team WK,WK,Oman,MENA,1,
Team XD,XD,South Korea,Korea,1,
Team xo,XO,,North America,1,
Team Yetti,TY,South Korea,LMS,1,
Team YOLO,YOLO,,North America,1,
Team Zan,ZAN,Japan,Japan,1,
Team Zoose,TZ,,North America,1,
TEAM4NOT.NA,4N,Canada,North America,1,
TEAM4NOT.OCE,4N,Australia,Oceania,1,
TeamHopeLess,THL,Taiwan,LMS,1,
Teamless,TEAM,Europe,Europe,1,
Teamless Revenge,TRV,,North America,1,
TeamOrangeGaming,TOG,Germany,EMEA,0,
Tech Titans,7T,Argentina,LAS,1,
Tectonic,TTC,Australia,Oceania,1,
Tectonic Academy,TTA,Australia,Oceania,1,
Tempered Fate,TF,,Europe,1,
Tempest,Tempest,South Korea,Korea,1,Xenics Storm
Tempest Gaming,TPG,,North America,0,
Tempo Storm,TS,North America,North America,1,
TES (Hong Kong Team),TES,Hong Kong,PCS,1,
Tesla E-Sports,TeslaE,South America,LAN,1,
Tesla Gaming,TSL,South America,LAN,1,
Test Your Limits,TYL,Greece,Europe,1,
Texas A&amp;M University,TAM,,North America,0,
TFK,TFK,Colombia,Latin America,1,
The Agency,AGC,,EMEA,1,
The Black Lotus,TBL,Morocco,MENA,1,
The Black Magic,TBM,,MENA,0,
The Boys Attorneys at Law,ESQ,,North America,1,
The Brunch Club,TBC,North America,North America,1,
The Cheese Chasers,NPC,,North America,1,
The Expendables,EXP,,North America,1,
The Final Tribe,TFT,Sweden,Europe,1,
The Fox Sound,TFS,Europe,Europe,1,
The French Zoo,ZOO,,Europe,1,
The Gulls Esports,TGL,Italy,EMEA,0,
The Kings,TK,Mexico,Latin America,1,
The Kings Academy,TK.A,Mexico,Latin America,1,The Kings Moon
The Kings Moon,TKM,Mexico,Latin America,1,
The Krusty Crew,TKC,,North America,1,
The Largest Salary,TLS,,CIS,1,
The Last Dance,TLD,,North America,1,
The Last Monk,TLM,Spain,EMEA,1,
The League of Extraordinary Monsters,LXM,,North America,1,
The Longest Yard,TLY,,North America,1,
The Mighty Midgets,THE,Poland,Europe,1,
The Nameless,NE,,North America,0,
The Natives,TNT,Thailand,SEA,1,
The Northern Front,TNF,,North America,1,
The Pack,TPK,,North America,0,
The Plan,TP,Slovenia,Europe,1,
The RED,RED,Russia,CIS,1,
The Salad Bar,TSB,North America,North America,1,
The Spawn Esports,SPN,Cyprus,Europe,1,
The Tower,TT,Italy,Europe,1,
The Walking Zed,TWZ,North America,North America,1,
The Wigglets,WGIT,,North America,1,
Third Party,3P,,North America,1,
Thirsty Chinchillas,TCH,Singapore,SEA,1,
Thunder Awaken,TA,Peru,Latin America,1,
ThunderBot SPARTA,TBS,France,Europe,1,
Thunderclouds E-Sports,TC,Tunisia,MENA,1,
ThunderFlash,TFH,Poland,EMEA,1,
ThunderoBot Gaming,TRG,China,China,1,
ThunderTalk Gaming,TT,China,China,0,
ThunderTalk Gaming Young,TT.Y,China,China,0,
ThunderX3 Baskonia,BKN,Spain,Europe,1,
THUNDR Esports,TDR,Sweden,EMEA,1,
Tick Trick and Duck,TTD,Europe,Europe,1,
Tigris eSports,TIG,Germany,Europe,1,
Tiktok Tony Top,TONY,,North America,1,Team Tony Top
Till Dawn,TDW,Thailand,SEA,1,
Timeout Esports,TO,,Europe,1,
Timeout Esports Academy,TO.A,,Europe,1,
Tindastóll,TND,Iceland,Europe,1,
Titan Catipay,TC,China,China,0,
TITANS ESPORTS,TITANS,Russia,CIS,1,
Titans Gaming Center,TGC,Kuwait,MENA,0,
TKA E-Sports,TKA,Austria,Europe,1,
TM Gaming,tM,Australia,Oceania,1,Tectonic
TNC Pro Team,TNC,Philippines,SEA,1,
TNU Eagle,TNU,Taiwan,PCS,0,
Tồ Gaming,TG,Vietnam,Vietnam,1,
To The Arena,TTA,,North America,1,
Together Esports,TE,Poland,Europe,1,H34T Esports
Tomorrow Esports,TMR,Mexico,Latin America,0,
Tongtex Suns,TS,Taiwan,PCS,0,
Tony Parker Adequat Academy,TPAA,France,EMEA,1,
TOOOLS esports,OOO,Spain,Europe,1,
Top Dog Gaming,TDG,North America,North America,1,
Top Esports,TES,China,China,0,
Top Esports Challenger,TES.C,,China,0,
TopHard Esports,TH,Costa Rica,Latin America,1,
ToxicFalcons eSports,TF,Netherlands,Europe,1,Aethra Esports
ToxicFalcons eSports Belgium,TF.BE,Netherlands,Europe,1,Aethra Esports Belgium
ToxicFalcons Oldschool,TF.OS,Netherlands,Europe,1,Aethra Esports Oldschool
TrainHard eSport,TH,France,Europe,1,
Trance's Tyrants,TTS,,North America,1,
Tricked Esport,TRC,Denmark,Europe,1,
Tricksters,TRX,Russia,CIS,1,
Trident Esports,TRI,Australia,Oceania,1,
Triple Esports,TRP,Saudi Arabia,EMEA,1,
Triumphant Song Gaming,TSG,China,China,1,
Tropa Raizen,TRZ,Brazil,Brazil,0,
Tropa XV,TXV,,Brazil,1,Tropa Raizen
True eSport,TeS,Italy,Europe,1,
TSM,TSM,United States,North America,1,
TSM Academy,TSM.A,United States,North America,1,TSM Challengers
TSM Amateur,TSM.Am,United States,North America,1,
TSM Challengers,TSMC,United States,North America,1,
TSM Darkness,TSD,United States,North America,1,Elomingle
Tt Dragons,TTD,Germany,Europe,1,
Tt Dragons Taiwan,TTD,Taiwan,LMS,1,
TT willhaben,TTW,Austria,EMEA,1,
Tundra Gaming,TDG,,Europe,1,
Turing eSports,TS,Lithuania,Europe,1,
Twareg Esports,TRG,Morocco,EMEA,0,
TWELVE,12,China,China,1,
Twisted Minds,TWIS,Saudi Arabia,EMEA,0,
Two-eyed Monsters,2eM,Japan,Japan,1,
TWOTWOEIGHT,228,Hong Kong,LMS,1,
TyLoo,TL,China,China,1,
U Rage QuiT,URQ,Argentina,LAS,1,Rock Solid (Argentina Team)
U4RIA Nerium,U4,,North America,0,
UCAM Esports,UCAM,Spain,EMEA,0,
UCAM Esports Academy,UCAM.A,Spain,EMEA,0,
UCAM Penguins,UCAM,Spain,Europe,1,UCAM Esports Club
UCAM Penguins Academy,UCAM.A,,Europe,1,UCAM Esports Club Academy
UCXD,UCXD,,North America,1,
Ukrainian Glory Team,UGT,Ukraine,EMEA,0,
Ultimate Gaming,ULT,Thailand,SEA,1,
Ultimate Senpai,USP,Thailand,SEA,1,
Ultra Prime,UP,China,China,0,
Ultra Prime Academy,UPA,China,China,0,
Umbra Collective,UC,United States,North America,1,
Umbra Divinus Gaming,UDG,Greece,Europe,1,
Undead Gaming,UBK,Argentina,Latin America,0,
Underdog,UDG,Thailand,SEA,1,
Underworld Esports,UWE,Italy,EMEA,0,
Unfazed Esport,UFZ,Switzerland,Europe,1,
Unicorns of Love,UOL,Germany,Europe,1,Unicorns of Love.CIS
Unicorns of Love Sexy Edition,USE,Germany,EMEA,0,
Unicorns of Love.CIS,UOL,Germany,CIS,1,
UniQ Esports Club,UNIQ,Sweden,EMEA,0,
Universae Instituto FP,UNIV,Spain,EMEA,0,
Universidad Católica Esports,UC,Chile,Latin America,1,Cruzados Esports
Universidad de Chile Esports,UCH,Chile,Latin America,1,Azules Esports
Universitario Esports,UE,Peru,Latin America,1,
University of British Columbia,UBC,Canada,North America,0,
University of California Berkeley,CAL,,North America,0,
University of California Irvine,UCI,,North America,0,
University of California Los Angeles,UCLA,,North America,0,
University of California Riverside,UCR,,North America,0,
University of California San Diego,UCSD,,North America,0,
University of Colorado Boulder,CUB,,North America,0,
University of Illinois at Urbana-Champaign,UIUC,,North America,0,
University of Louisiana at Lafayette,UL,,North America,1,
University of Maryland College Park,UMD,,North America,0,
University of Michigan,UM,United States,North America,0,
University of Minnesota Twin Cities,UMN,,North America,0,
University of Mississippi,MISS,United States,North America,0,
University of Missouri Columbia,UNIV,United States,North America,0,
University of North America,UoNA,,North America,1,
University of Ottawa,UO,,North America,0,
University of South Florida,USF,,North America,0,
University of Southern California,USC,,North America,0,
University of St. Thomas,UST,,North America,0,
University of St. Trevor,UST,,North America,0,
