OverviewPage,Short,Location,Region,IsDisbanded,RenamedTo
WiLD Academy,WiLD.A,,Europe,True,
Wild Fire e-Sports Club,WF,Turkey,Turkey,True,
Wild Jaguars,WJ,Panama,Latin America,True,
WiLD MultiGaming,WiLD,Hungary,Europe,True,
Wild Panthers Esports,WPE,Greece,EMEA,False,
Wild West Bandits,WWB,,North America,True,
Wildcard Aces,WCA,United States,North America,True,
Wildcard Gaming,WC,United States,North America,False,
Wildcard Gaming Black,WCB,United States,North America,True,
Wildcard Gaming Developmental,WCD,United States,North America,True,
Wildcard Gaming Red,WCR,United States,North America,True,
WIN Esports,WIN,Malaysia,SEA,True,
Wina Krzycha,WK,Poland,EMEA,True,
Wind and Rain,WAR,Europe,Europe,True,
Wind and Rain Balkan,WAR.B,Serbia,Europe,True,
Wind and Rain Germany,WAR.G,Germany,Europe,True,
Wind and Rain NA,WAR.NA,North America,North America,True,
Wind and Rain Nordic,WAR.N,Sweden,Europe,True,
Windstorm Gaming,WS,Canada,North America,True,
Wings of Aurora,WOA,China,China,True,
WingsOflibeRty,WOR,Taiwan,LMS,True,
Winners,WNS,South Korea,Korea,True,
Winston King of Amateur,KOA,,North America,True,
Winterfox,WFX,United States,North America,True,
Winthrop University,WU,,North America,False,
Wisła Płock eSports,WP,Poland,Europe,True,
WitchHUB,WH,Poland,EMEA,False,
Wizard esports,WIZ,Norway,Europe,True,
Wizards,WIZ,Spain,EMEA,True,
WLGaming Esports,WLG,Greece,EMEA,False,
WNKR,WNKR,Italy,Europe,True,
Wolf Club Esports,WCE,Chile,Latin America,True,
Wonder Stag e-Sports,WSE,Hungary,EMEA,False,
World Class Empyreans,WCE,United States,North America,True,
Wortex Gaming,WTX,Estonia,Europe,True,
WP Gaming,WP,,Brazil,True,
WR Builds Flame Horizon,WRF,,North America,False,
WSystem e-Sports Club,wSys,Spain,Europe,True,
WuDu,WD,China,China,True,Snake WuDu
Wulf Pack,WP,United States,North America,True,
WYDream,WYD,China,China,True,
Wygers Argentina,WYG,Argentina,Latin America,True,
Wygers Colombia,WYG,Colombia,Latin America,True,
X25 Esports,X25,Serbia,Europe,True,
X6tence,x6,Spain,Europe,True,
X6tence Academy,x6.A,Spain,Europe,True,
X6tence Mexico,x6.M,Spain,Latin America,True,
X7 Ascent,X7.A,United Kingdom,Europe,True,
X7 Esports,X7,Isle of Man,Europe,True,
XAL Esports,XAL,United Kingdom,Europe,True,
Xan,XAN,,SEA,True,
Xavier Esports,XAV,Thailand,SEA,True,
XD Prinfor,XD,Portugal,Europe,True,Prinfor Esports Club
XD Prinfor B,XD.B,Portugal,Europe,True,
XDG Gaming,XDG,United States,North America,True,
Xenics,XEN,South Korea,Korea,True,
Xenics Blast,XB,South Korea,Korea,True,
Xenics Storm,XS,South Korea,Korea,True,
Xgame,XG,,SEA,True,
XO Esports,XO,Saudi Arabia,EMEA,False,
Xoldiers,XOL,Spain,EMEA,True,
Xora Esports,XE,,North America,False,
XPG Invicta,XPG,Poland,Europe,True,
XT Esports,XT,United States,North America,True,
XTEN Esports,XTN,,Latin America,True,
XTEN Mexico,XTN.M,Mexico,Latin America,True,
XTGN,XTGN,North America,North America,True,LB Gurb Nation
XtremeDominators,XD,Slovenia,EMEA,True,
XY Esports,XY,Iceland,Europe,True,
XYZ (Korean Team),XYZ,South Korea,Korea,True,
Y so E-Sports,YSO,Canada,North America,True,
Yalla Esport,YL,Poland,EMEA,True,
YDN Elysium,YDN.E,Italy,Europe,True,
YDN Esports,YDN,Italy,Europe,True,
YDN Legion,YDN.L,Italy,Europe,True,
Ye Olde League Organization,Y.O.L.O.,North America,North America,True,
YeaH! Gaming,YeaH,Brazil,Brazil,True,
Yellow Stripes,V,France,EMEA,True,
York University,YU,,North America,False,
YouCantStopMe,YCSM,Hong Kong,LMS,True,
Young Boss,YB,South Korea,Korea,True,
Young Buffalo,YB,Vietnam,Vietnam,False,
Young Buffalos,YB,,North America,True,
Young Generation,YGE,Vietnam,Vietnam,True,Phong Vũ Buffalo
Young Glory,YG,China,China,True,
Young Miracles,YM,China,China,True,
Young Ninjas,YN,Sweden,China,True,Ji Jie Hao
Your Exit,YE,Europe,CIS,True,
Your Soul Shall Chuffer,YSSC,Australia,Oceania,True,
Youth Warriors,YW,Taiwan,PCS,True,
YouthCrew Esports,YC,Turkey,Turkey,True,
Yutoru,YTR,Italy,EMEA,True,
ZAGA Talent Gaming,ZTG,El Salvador,LAN,True,
Žalgiris Esports,ZAL,Lithuania,Europe,True,
ZeBopSquad,ZEBO,United States,North America,True,
Zeeman,ZEE,,Europe,True,
Zen Aïe Tea Refugees,ZAT,,Europe,True,Adverse
Zen Esports,ZEN,,North America,False,
Zena Esports Portugal,ZNE,Italy,EMEA,False,
Zenigma,ZEN,,North America,False,
Zenigma Eclipse,ZEN.E,,North America,True,
Zenigma Lunar,ZEN.L,,North America,True,
Zenigma Solar,ZEN.S,,North America,True,
Zenith Esports,ZEN,North America,North America,False,
ZennIT,ZNT,,EMEA,False,
ZentaX Esports,ZTX,,Europe,True,
Zephyr E-Sport White,ZPR.W,France,Europe,True,
Zephyr Esport,ZPR,France,Europe,True,
Zephyr Esport Academy,ZPR.A,France,Europe,True,
Zephyr Esport Red,ZPR.R,France,Europe,True,
Zerance,ZER,France,EMEA,False,
Zero Six PowerSpike,06,,Europe,True,
Zero Tenacity,Z10,Serbia,EMEA,False,
Zerolag Esports,HELL,Greece,EMEA,False,
Zerolag Esports Academy,ZRL.A,Greece,Europe,True,
ZeroSeven Gera,07,Germany,Europe,True,
ZeroZone Gaming,ZZG,Portugal,EMEA,False,
ZETA,ZTA,Spain,EMEA,False,
Zeta Team,Z,Italy,Europe,True,
Zeu5 Bogota,Z5,Colombia,Latin America,True,
Zeu5 Gaming,Z5,Colombia,LAN,True,
Zeus Kralik,Z5K,Colombia,Latin America,True,
Zodiac Esports,ZDC,,North America,True,
Zoltak Legion,ZK,Chile,LAS,True,
ZONE eSports,ZONE,Turkey,Turkey,True,
Zooby's Kittens,ZBY,,North America,True,
Zoos Gaming,ZOO,,North America,True,
ZOTAC United,ZOT,Vietnam,SEA,True,
ZTR Gaming,ZTR,China,China,True,
Zwan Gaming,ZWN,Costa Rica,Latin America,True,
Zwan Gaming Colombia,ZWN.C,Costa Rica,Latin America,True,
Zwan Gaming Mexico,ZWN.M,Costa Rica,Latin America,True,
Zylant Esports,ZLT,Mexico,Latin America,True,
TBA (North American Team),TBA,,North America,True,
TCM Gaming,TCM,United Kingdom,Europe,True,
TDC Esports,TDC,Spain,EMEA,True,
Team 58ers,58ers,Brazil,Brazil,True,
Team 7AM,7AM,Europe,EMEA,True,
Team 7AM Academy,7AM.A,Europe,Europe,True,
Team 8,T8,North America,North America,True,
Team Acer,ACER,Germany,Europe,True,
Team Acer Poland,ACER.PL,Poland,Europe,True,
Team Afro,AFR,Taiwan,LMS,True,
Team Amazigh,AMZ,Tunisia,EMEA,True,
Team Ambition,TA,,North America,True,
Team Ambition Black,TAB,,North America,True,
Team Ambition Blaze,TAB,,North America,True,
Team Ambition Red,TAR,,North America,True,
Team Ambition Sussy,TAS,,North America,True,
Team Amelia,AML,Italy,Europe,True,
Team ANG,ANG,Peru,LAN,True,
Team Anomaly Breaker,TAB,,Latin America,False,
Team Arcade,TA,Netherlands,Europe,True,
Team Arena Online,TAO,North America,North America,True,Team Dragon Knights
Team Ares,TAR,,North America,True,
Team Ascent,ACT,Poland,Europe,True,
Team Astral Poke,TAP,,North America,True,
Team Atlantis,ATL,Lithuania,Europe,True,
Team Atlantis Baltics,ATL.B,Lithuania,Europe,True,
Team AURORA,AUR,Turkey,Turkey,True,
Team AURORA Academy,AUR.A,Turkey,Turkey,True,
Team awp,AWP,Brazil,Brazil,True,
Team Aze,AZE,Mexico,Latin America,True,
Team BattleComics,BtC,South Korea,Korea,True,
Team BDS,BDS,Switzerland,EMEA,False,
Team BDS Academy,BDSA,Switzerland,EMEA,False,
Team BDS Valkyries,BDS.V,Switzerland,EMEA,False,
Team Black (Dutch Team),BLK,Netherlands,Europe,True,
Team BLACK (European Team),BLACK,Europe,Europe,True,
Team BlackEye,TBE,Japan,Japan,True,
Team Bliss,TB,Australia,Asia Pacific,False,
Team Brickz,BKZ,,North America,True,
Team Cappadocia,CAP,Turkey,Turkey,True,
Team Charon,CHRN,South Korea,Korea,False,
Team Clarity,CLR,,North America,False,
Team Cloud Drake (NASG Team),CLD,,North America,True,
Team Coachify,CFY,,North America,True,
Team Coast,CST,North America,North America,True,
Team Coast Gold,CST Gold,Europe,Europe,True,
Team Confusion,CONF,United States,North America,True,
Team Corgi,CRG,Singapore,SEA,True,
Team Curse,CRS,North America,North America,True,Team Liquid
Team Curse Europe,CEU,,Europe,True,Team LoLPro
Team Curse OCE,CRS.O,North America,Oceania,True,
Team Dark,Dark,South Korea,Korea,True,
Team Death Knights,TDK,,North America,True,
Team DeftFox,DFX,Germany,Europe,True,
Team Differential,Diff,Russia,CIS,True,
Team Dignitas EU,DEU,United Kingdom,Europe,True,
Team Dignitas OCE,d OCE,United Kingdom,Oceania,True,
Team Dignitas UK,d UK,United Kingdom,Europe,True,
Team Dizzy,DIZZ,,North America,False,
Team DK,DK,China,China,True,
Team DPD,DPD,,Europe,True,
Team Dragon Knights,TDK,North America,North America,True,
Team Du Sud,TDS,France,EMEA,True,
Team Dynamic,DYN,North America,North America,True,
Team Dynamics,DYN,South Korea,Korea,True,Nongshim RedForce
Team Dynamics Academy,DYN.A,South Korea,Korea,True,Nongshim RedForce Academy
Team Dynasty,Dynasty,Greece,Europe,True,
Team E Turner,TET,,North America,True,
Team EasyFix Co-Hop,EFC,,Europe,True,
Team Echo Zulu,EZ,Netherlands,Europe,True,The Agency
Team Echo Zulu Tribe,EZT,,Europe,True,Echo Zulu Domme Jongens
Team Eloblade,ELOB,Europe,Europe,True,
Team Empire,EMP,Russia,CIS,True,
Team Empire (Malaysian Team),EMP,Malaysia,SEA,True,Axis Empire
Team EnVyUs,NV,United States,North America,True,
Team ESCA Gaming,ESCA,Poland,EMEA,True,
Team ESCA Gaming Female,ESCA.F,Poland,Europe,True,
Team Exile5,X5,Australia,Oceania,True,
Team EYA,EYA,France,EMEA,False,
Team Falcons,FLC,Saudi Arabia,EMEA,False,
Team FeaR,FR,United States,North America,True,
Team Fighter,TF,China,China,True,EDward Gaming Youth Team
Team Fire,Fire,,International,False,
Team Fish Taco,TACO,United States,North America,False,
Team Flash.Singapore,FL,Singapore,SEA,True,
Team Flash.Vietnam,TF,Singapore,Vietnam,False,
Team Flux,FLUX,,Europe,True,
Team Forge,4G,Italy,Europe,True,
Team Forge Academy,4GA,Italy,Europe,True,
Team Forge Ichnos,4GI,Italy,Europe,True,
Team Fracture,TF,,North America,True,
Team FragZone,FZ,Denmark,Europe,True,
Team Front,TF,United States,North America,True,
Team Frostbite,TFB,North America,North America,True,
Team Furca,FA,Czech Republic,Europe,True,
Team Fusion,FSN,North America,North America,True,
Team gamed!de,GDE,Germany,Europe,True,
Team Gates,TG,United States,North America,True,
Team Genesis,GEN,Brazil,Brazil,True,
Team Genji,Genji,Greece,Europe,True,
Team GMask,GMK,Spain,EMEA,False,
Team GO,GO,France,EMEA,False,
Team GO Aurora,GOA,France,EMEA,False,
TEAM GR1,GR1,Poland,EMEA,True,
Team Green Forest,TGF,North America,North America,True,
Team Heretics,TH,Spain,EMEA,False,
Team Hex,HEX,,MENA,True,
Team Horizon Reapers,THR,,Europe,True,
Team Hunters,TH,South Korea,Korea,True,
Team Hurricane,TH,China,China,True,
Team Ice,Ice,,International,False,
Team Imagine,IMG,North America,North America,True,
Team Immunity,IM,Australia,Oceania,True,
Team Impulse,TIP,North America,North America,True,
Team Infamous,IFM,,Europe,True,
Team Infernal Drake (NASG Team),INF,,North America,True,
Team Infinite,IFN,Thailand,SEA,True,
Team Infused,INF,United Kingdom,Europe,True,
Team Innova,i9,Brazil,Brazil,True,
Team Insidious,IN5,Greece,EMEA,False,
Team Just,TJ,Russia,CIS,True,
Team Just Alpha,Just A,Russia,CIS,True,
Team Just Challenger,TJ.C,Russia,CIS,True,Team Just Ice
Team Just Ice,J.ICE,Russia,CIS,True,
Team Kamikaze,KMZ,Japan,Japan,True,
Team King,KNG,China,China,True,
Team KTHXBAI,KTHXBAI,Malaysia,SEA,True,
Team KungFu,TKF,China,China,True,
Team Legion,LgN,United States,North America,True,
Team Legion (Benelux Team),TL,France,Europe,True,
Team Legion (Greek Team),TLG,Greece,EMEA,True,
Team Liquid,TL,Netherlands,North America,False,
Team Liquid Academy,TL.A,Netherlands,North America,True,Team Liquid Challengers
Team Liquid Challengers,TLC,Netherlands,North America,False,
Team Liquid First,TLF,Netherlands,North America,True,
Team Livemore,LM,China,China,True,
Team LoL Cave,TLC,Argentina,LAS,True,
Team LoLPro,PRO,North America,North America,True,
Team Majesty,MAJ,Tunisia,MENA,True,
Team Manila Eagles,TME,Philippines,SEA,True,
Team Matrix,MTRX,United States,North America,True,
Team MCES,MCES,France,Europe,True,
Team MCES Academy,MCES.A,France,Europe,True,
Team MegashocK,TMsK,Germany,Europe,True,
Team Meliora,TML,Czech Republic,EMEA,False,
Team Mist,TM,Taiwan,LMS,True,
Team Mistral,MTL,France,Europe,True,
Team MoonZone,MZ,,Europe,True,
Team Moops,MPS,Czech Republic,Europe,True,
Team Mountain Drake (NASG Team),MTN,,North America,True,
Team MRN,MRN,United States,North America,True,
Team Mythic,MTH,Greece,EMEA,True,
Team NB,NB,South Korea,Korea,True,
Team Nerotec,NTC,,Europe,True,The Plan
Team Nevo,NVO,United Kingdom,Europe,True,
Team No Limit,TnL,Hong Kong,LMS,True,
Team NomNom,NOMN,,North America,True,Cloud9
Team Nv,Nv,Australia,Oceania,True,
Team nxl,nxl,Indonesia,SEA,True,
Team Occupy,OPY,Egypt,MENA,False,
Team Ocean Drake (NASG Team),OCN,,North America,True,
Team Omniscius H,TOSH,Germany,EMEA,True,HNVR Esports
Team oNe eSports,ONE,Brazil,Brazil,True,Los Grandes
Team One Shot,ONE,,Europe,True,
Team OP,OP,South Korea,Korea,True,
Team Oplon,OPL,France,Europe,True,
TEAM ORANGE,TO,China,China,True,
Team Orion,ORN,,LMS,True,
Team Orora,Orora,Turkey,Turkey,True,
Team Overclockers UK,OUK,United Kingdom,Europe,True,
Team Ozone Cutie Monsters,OZCM,Vietnam,SEA,True,
Team Paradox,TPX,Greece,EMEA,False,
Team Pending,TBA,,North America,True,
Team Phantasma,TP,Greece,EMEA,False,
Team Phantasma Community,TPC,Greece,Europe,True,
Team Phoenix,PHX,China,China,True,
Team PHZ,PHZ,Finland,Europe,True,
Team Pinnacle,TP,China,China,True,
Team Pique Sel,PXXL,,EMEA,True,
Team Plague,PLG,Hungary,EMEA,False,
Team Plink,CAT,,North America,True,Team E Turner
Team Proioxis,PRS,Singapore,SEA,True,
Team Property,prOp,Sweden,Europe,True,
Team QLASH Academy,QLS,Italy,Europe,True,
Team Queso,TQ,Spain,Europe,True,
Team Quetzal,QzL,Mexico,Latin America,True,
Team Rapid,RPD,,North America,True,
Team Refuse,RFS,Greece,EMEA,False,
Team Regicide,RGC,Australia,Oceania,True,
Team Revive,Revive,Europe,Europe,True,
Team Rigel,Rigel,Singapore,SEA,True,
Team Riverside,TRS,Germany,Europe,True,
Team RM,RM,China,China,True,
Team ROCCAT,ROC,Germany,Europe,True,
Team ROCK,ROCK,Poland,Europe,True,
Team Rocket,TR,Greece,Europe,True,
Team SalsaLoL,TSL,Spain,Europe,True,
Team Same Mordeczki,TSM,Poland,Europe,True,
Team Sampi,SMP,Czech Republic,EMEA,True,
Team Secret (Vietnamese Team),TS,Europe,Vietnam,False,
Team Secret (Vietnamese Team) Academy,TS.A,Europe,Vietnam,False,
Team Server-Forge,SF,Germany,Europe,True,
Team Singularity,SNG,Denmark,Europe,True,
Team Singularity Female,SNG.F,Denmark,Europe,True,
Team Sky,SKY,North America,North America,True,
Team Solo Mebdi,TSM,,Europe,True,
Team SoloMid Evo,TSM.E,United States,North America,True,
Team Spirit,TSPT,Russia,CIS,True,
Team Summon,TS,United States,North America,True,
Team Sypher,Sypher,Belgium,Europe,True,
Team Tempest,TMP,North America,North America,True,
Team Terrigen,TG,Thailand,SEA,True,Sinelight
Team THRLL,TRL,,Europe,True,
Team THRLL Academy,TRL.A,,Europe,True,
Team Tony Top,TTT,,North America,True,
Team TowerDiveTV,TDTV,,North America,True,
Team Turquality,TT,Turkey,Turkey,True,
Team Turquality RED,TT RED,Turkey,Turkey,True,
Team Ultra Vires,TUV,Lithuania,Europe,True,
Team United,United,Brazil,Brazil,True,
Team UNiTY,UNIT,Slovakia,EMEA,False,
Team Universe,UNI,Czech Republic,Europe,True,
Team Vitality,VIT,France,EMEA,False,
Team Vitality Academy,VIT.A,France,Europe,True,Vitality.Bee
Team Vulcun,VUL,United States,North America,True,XDG Gaming
Team W3,W3,China,China,False,
Team WE,WE,China,China,False,
Team WE Academy,WE.A,,China,False,
Team WE Dreams,WED,China,China,False,
Team WE Future,WEF,China,China,True,Mighty Eagle
Team WeForge,WFE,France,Europe,True,
Team Whales,TW,Vietnam,Vietnam,False,
Team WinFakt,WinFakt,Belgium,Europe,True,
Team WK,WK,Oman,MENA,True,
Team XD,XD,South Korea,Korea,True,
Team xo,XO,,North America,True,
Team Yetti,TY,South Korea,LMS,True,
Team YOLO,YOLO,,North America,True,
Team Zan,ZAN,Japan,Japan,True,
Team Zoose,TZ,,North America,True,
TEAM4NOT.NA,4N,Canada,North America,True,
TEAM4NOT.OCE,4N,Australia,Oceania,True,
TeamHopeLess,THL,Taiwan,LMS,True,
Teamless,TEAM,Europe,Europe,True,
Teamless Revenge,TRV,,North America,True,
TeamOrangeGaming,TOG,Germany,EMEA,False,
Tech Titans,7T,Argentina,LAS,True,
Tectonic,TTC,Australia,Oceania,True,
Tectonic Academy,TTA,Australia,Oceania,True,
Tempered Fate,TF,,Europe,True,
Tempest,Tempest,South Korea,Korea,True,Xenics Storm
Tempest Gaming,TPG,,North America,False,
Tempo Storm,TS,North America,North America,True,
TES (Hong Kong Team),TES,Hong Kong,PCS,True,
Tesla E-Sports,TeslaE,South America,LAN,True,
Tesla Gaming,TSL,South America,LAN,True,
Test Your Limits,TYL,Greece,Europe,True,
Texas A&amp;M University,TAM,,North America,False,
TFK,TFK,Colombia,Latin America,True,
The Agency,AGC,,EMEA,True,
The Black Lotus,TBL,Morocco,MENA,True,
The Black Magic,TBM,,MENA,False,
The Boys Attorneys at Law,ESQ,,North America,True,
The Brunch Club,TBC,North America,North America,True,
The Cheese Chasers,NPC,,North America,True,
The Expendables,EXP,,North America,True,
The Final Tribe,TFT,Sweden,Europe,True,
The Fox Sound,TFS,Europe,Europe,True,
The French Zoo,ZOO,,Europe,True,
The Gulls Esports,TGL,Italy,EMEA,False,
The Kings,TK,Mexico,Latin America,True,
The Kings Academy,TK.A,Mexico,Latin America,True,The Kings Moon
The Kings Moon,TKM,Mexico,Latin America,True,
The Krusty Crew,TKC,,North America,True,
The Largest Salary,TLS,,CIS,True,
The Last Dance,TLD,,North America,True,
The Last Monk,TLM,Spain,EMEA,True,
The League of Extraordinary Monsters,LXM,,North America,True,
The Longest Yard,TLY,,North America,True,
The Mighty Midgets,THE,Poland,Europe,True,
The Nameless,NE,,North America,False,
The Natives,TNT,Thailand,SEA,True,
The Northern Front,TNF,,North America,True,
The Pack,TPK,,North America,False,
The Plan,TP,Slovenia,Europe,True,
The RED,RED,Russia,CIS,True,
The Salad Bar,TSB,North America,North America,True,
The Spawn Esports,SPN,Cyprus,Europe,True,
The Tower,TT,Italy,Europe,True,
The Walking Zed,TWZ,North America,North America,True,
The Wigglets,WGIT,,North America,True,
Third Party,3P,,North America,True,
Thirsty Chinchillas,TCH,Singapore,SEA,True,
Thunder Awaken,TA,Peru,Latin America,True,
ThunderBot SPARTA,TBS,France,Europe,True,
Thunderclouds E-Sports,TC,Tunisia,MENA,True,
ThunderFlash,TFH,Poland,EMEA,True,
ThunderoBot Gaming,TRG,China,China,True,
ThunderTalk Gaming,TT,China,China,False,
ThunderTalk Gaming Young,TT.Y,China,China,False,
ThunderX3 Baskonia,BKN,Spain,Europe,True,
THUNDR Esports,TDR,Sweden,EMEA,True,
Tick Trick and Duck,TTD,Europe,Europe,True,
Tigris eSports,TIG,Germany,Europe,True,
Tiktok Tony Top,TONY,,North America,True,Team Tony Top
Till Dawn,TDW,Thailand,SEA,True,
Timeout Esports,TO,,Europe,True,
Timeout Esports Academy,TO.A,,Europe,True,
Tindastóll,TND,Iceland,Europe,True,
Titan Catipay,TC,China,China,False,
TITANS ESPORTS,TITANS,Russia,CIS,True,
Titans Gaming Center,TGC,Kuwait,MENA,False,
TKA E-Sports,TKA,Austria,Europe,True,
TM Gaming,tM,Australia,Oceania,True,Tectonic
TNC Pro Team,TNC,Philippines,SEA,True,
TNU Eagle,TNU,Taiwan,PCS,False,
Tồ Gaming,TG,Vietnam,Vietnam,True,
To The Arena,TTA,,North America,True,
Together Esports,TE,Poland,Europe,True,H34T Esports
Tomorrow Esports,TMR,Mexico,Latin America,False,
Tongtex Suns,TS,Taiwan,PCS,False,
Tony Parker Adequat Academy,TPAA,France,EMEA,True,
TOOOLS esports,OOO,Spain,Europe,True,
Top Dog Gaming,TDG,North America,North America,True,
Top Esports,TES,China,China,False,
Top Esports Challenger,TES.C,,China,False,
TopHard Esports,TH,Costa Rica,Latin America,True,
ToxicFalcons eSports,TF,Netherlands,Europe,True,Aethra Esports
ToxicFalcons eSports Belgium,TF.BE,Netherlands,Europe,True,Aethra Esports Belgium
ToxicFalcons Oldschool,TF.OS,Netherlands,Europe,True,Aethra Esports Oldschool
TrainHard eSport,TH,France,Europe,True,
Trance's Tyrants,TTS,,North America,True,
Tricked Esport,TRC,Denmark,Europe,True,
Tricksters,TRX,Russia,CIS,True,
Trident Esports,TRI,Australia,Oceania,True,
Triple Esports,TRP,Saudi Arabia,EMEA,True,
Triumphant Song Gaming,TSG,China,China,True,
Tropa Raizen,TRZ,Brazil,Brazil,False,
Tropa XV,TXV,,Brazil,True,Tropa Raizen
True eSport,TeS,Italy,Europe,True,
TSM,TSM,United States,North America,True,
TSM Academy,TSM.A,United States,North America,True,TSM Challengers
TSM Amateur,TSM.Am,United States,North America,True,
TSM Challengers,TSMC,United States,North America,True,
TSM Darkness,TSD,United States,North America,True,Elomingle
Tt Dragons,TTD,Germany,Europe,True,
Tt Dragons Taiwan,TTD,Taiwan,LMS,True,
TT willhaben,TTW,Austria,EMEA,True,
Tundra Gaming,TDG,,Europe,True,
Turing eSports,TS,Lithuania,Europe,True,
Twareg Esports,TRG,Morocco,EMEA,False,
TWELVE,12,China,China,True,
Twisted Minds,TWIS,Saudi Arabia,EMEA,False,
Two-eyed Monsters,2eM,Japan,Japan,True,
TWOTWOEIGHT,228,Hong Kong,LMS,True,
TyLoo,TL,China,China,True,
U Rage QuiT,URQ,Argentina,LAS,True,Rock Solid (Argentina Team)
U4RIA Nerium,U4,,North America,False,
UCAM Esports,UCAM,Spain,EMEA,False,
UCAM Esports Academy,UCAM.A,Spain,EMEA,False,
UCAM Penguins,UCAM,Spain,Europe,True,UCAM Esports Club
UCAM Penguins Academy,UCAM.A,,Europe,True,UCAM Esports Club Academy
UCXD,UCXD,,North America,True,
Ukrainian Glory Team,UGT,Ukraine,EMEA,False,
Ultimate Gaming,ULT,Thailand,SEA,True,
Ultimate Senpai,USP,Thailand,SEA,True,
Ultra Prime,UP,China,China,False,
Ultra Prime Academy,UPA,China,China,False,
Umbra Collective,UC,United States,North America,True,
Umbra Divinus Gaming,UDG,Greece,Europe,True,
Undead Gaming,UBK,Argentina,Latin America,False,
Underdog,UDG,Thailand,SEA,True,
Underworld Esports,UWE,Italy,EMEA,False,
Unfazed Esport,UFZ,Switzerland,Europe,True,
Unicorns of Love,UOL,Germany,Europe,True,Unicorns of Love.CIS
Unicorns of Love Sexy Edition,USE,Germany,EMEA,False,
Unicorns of Love.CIS,UOL,Germany,CIS,True,
UniQ Esports Club,UNIQ,Sweden,EMEA,False,
Universae Instituto FP,UNIV,Spain,EMEA,False,
Universidad Católica Esports,UC,Chile,Latin America,True,Cruzados Esports
Universidad de Chile Esports,UCH,Chile,Latin America,True,Azules Esports
Universitario Esports,UE,Peru,Latin America,True,
University of British Columbia,UBC,Canada,North America,False,
University of California Berkeley,CAL,,North America,False,
University of California Irvine,UCI,,North America,False,
University of California Los Angeles,UCLA,,North America,False,
University of California Riverside,UCR,,North America,False,
University of California San Diego,UCSD,,North America,False,
University of Colorado Boulder,CUB,,North America,False,
University of Illinois at Urbana-Champaign,UIUC,,North America,False,
University of Louisiana at Lafayette,UL,,North America,True,
University of Maryland College Park,UMD,,North America,False,
University of Michigan,UM,United States,North America,False,
University of Minnesota Twin Cities,UMN,,North America,False,
University of Mississippi,MISS,United States,North America,False,
University of Missouri Columbia,UNIV,United States,North America,False,
University of North America,UoNA,,North America,True,
University of Ottawa,UO,,North America,False,
University of South Florida,USF,,North America,False,
University of Southern California,USC,,North America,False,
University of St. Thomas,UST,,North America,False,
University of St. Trevor,UST,,North America,False,
