Player,Country,Birthdate,ResidencyFormer,Team,Residency,Role,FavChamps,RoleLast,IsRetired,ToWildrift,Birthdate__precision,AllName
PARJIVAL,,,,Venus (Turkish Team),EMEA,Bot,,Bot,False,False,,PARJIVAL
Parlita,Spain,,Europe,,EMEA,Top,,Top,False,False,,Parlita
Parni,,2002-10-14,Turkey,,EMEA,Coach,"Camille,Fiora,Nocturne,Trundle",Coach,False,False,1.0,"Parni, Parniwer"
parol,United States,,,,North America,Bot,"Ashe,Kog'Maw",Bot,True,False,,Parol
Parr0t,United States,,,,North America,Bot,,Bot,True,False,,"Parr0t, Tiny Ethan"
Parramore,United States,,,,North America,Support,,Support,False,False,,"Parramore, Flaynndappy"
Part,South Korea,1995-02-12,,,Korea,Top,,Top,True,False,1.0,"Part, Dart, Firetrap"
Parth,United States,1989-12-05,,Immortals,North America,Manager,,Consultant,False,False,1.0,Parth
Partidarios,South Korea,2004-10-26,,,Korea,Support,,Support,False,False,1.0,"Partidarios, A SUP (Lee Jin-myeong), SUP (Lee Jin-myeong)"
Parus,Turkey,2003-02-22,Turkey,Team BDS Academy,EMEA,Support,,Support,False,False,1.0,Parus
Parvadi,Netherlands,,Europe,,EMEA,Support,,Support,False,False,,"Parvadi, Parvani"
Parzival,Philippines,,,West Point Esports Academy,Asia Pacific,Mid,,Top,False,False,,"Parzival, Medic (Hezro Elijah Canlas)"
Parzival J,Peru,,,,Latin America,Top,,Top,True,False,,Parzival J
pasa,Hong Kong,1995-12-17,Taiwan,,LMS,Support,,Support,True,False,1.0,"Pasa, IaMPaSa"
Pasameelcelo,Andorra,,,,Europe,Top,,Top,True,False,,Pasameelcelo
Pascho,United States,2000-08-24,,University of Washington,North America,Mid,"Swain,Viktor,Yone,Akali",Mid,False,False,1.0,Pascho
Passion,Germany,,,,Europe,Top,,Top,True,False,,Passion
Passzi,Hungary,,,Lille Esport,EMEA,Support,,Support,False,False,,Passzi
Pastel,Colombia,,,,Latin America,Coach,,Head Coach,False,False,,Pastel
Pastelito,Ecuador,2002-06-06,,,Latin America,Support,,Support,False,False,1.0,"Pastelito, Abyss (Joel Andrade), Pastelyuuki"
Paštikus,Czech Republic,,Europe,,EMEA,Jungle,,Jungle,False,False,,"Paštikus, Pastikuss"
Pastrytime,Australia,,,Riot Games Inc.,Asia Pacific,Caster,,Caster,False,False,,"Pastrytime, Pastry Time"
Pasu,Germany,,,All for One Gaming,EMEA,Jungle,,Jungle,False,False,,Pasu
Pat (Patrick Lefort),Canada,1994-10-28,,,North America,Support,"Evelynn,Lee Sin,Elise",Support,True,False,1.0,"Pat (Patrick Lefort), Patou, Titours"
PatateVolante,France,1999-05-03,,,Europe,Jungle,"Zac,Jarvan IV,Lillia,Olaf",Jungle,True,False,1.0,"PatateVolante, Patate"
Patch (Han Seung-min),South Korea,2001-09-22,,Dark Passage,Korea,Support,,Support,False,False,1.0,"Patch (Han Seung-min), Catch (Han Seung-min), Seng min, Seung min"
Patch (Pat McDonald),United States,,,Illinois Wesleyan University,North America,Coach,,Analyst,False,False,,Patch (Pat McDonald)
Pater,United States,2000-09-17,,Illinois State University,North America,Coach,,Coach,False,False,1.0,Pater
Pathreek,Slovakia,2000-12-02,,,EMEA,Jungle,"Sejuani,Maokai,Zac",Jungle,False,False,1.0,Pathreek
Patience,Taiwan,,,,PCS,Jungle,,Jungle,True,False,,"Patience, Bermix, Kycz"
Patience (Malek Houcine),Tunisia,,,,EMEA,Bot,,Bot,False,False,,"Patience (Malek Houcine), Rekkles (Malek Houcine)"
Patkica,Serbia,,Europe,Ici Japon Corp. Esport,EMEA,Top,,Top,False,False,,"Patkica, Patkicaa"
PATKUB,Thailand,,,,SEA,Top,,Top,True,False,,PATKUB
Patosh,Czech Republic,2001-08-11,Europe,,EMEA,Coach,"Akali,Syndra",Coach,False,False,1.0,"Patosh, Patos, Potošando"
Patoy,United States,1993-03-04,,,North America,Support,,Support,True,False,1.0,Patoy
Patrick (Luis Romero),Mexico,,,,Latin America,Top,,Top,True,False,,Patrick (Luis Romero)
Patrik,Czech Republic,2000-04-07,Europe,GIANTX,EMEA,Bot,"Caitlyn,Ezreal,Varus",Bot,False,False,1.0,"Patrik, Godhimself, Sheriff, Thale"
Patron,Brazil,,,Izanagi eSports,Brazil,Coach,,Head of Sports,False,False,,Patron
Patryk,Poland,,,,Europe,Top,,Top,True,False,,"Patryk, Lena"
Pattarek,Germany,1997-12-08,,,Europe,Support,Sett,Support,True,False,1.0,Pattarek
Patu,Australia,,,,Oceania,Support,,Support,True,False,,Patu
PaTwo,Costa Rica,,,,Latin America,Support,,Support,True,False,,PaTwo
PatxiPirata,Spain,2004-10-26,,Dream Makers,EMEA,Top,"K'Sante,Olaf,Gwen",Top,False,False,1.0,"PatxiPirata, BlaiK, PatxiElPira, PatxiElPirata"
PauFerran,,,Europe,Universae Instituto FP,EMEA,Support,,Manager,False,False,,"PauFerran, ElTrabuc, Pau"
Paul,Taiwan,,Taiwan,,PCS,Coach,,Head Coach,True,True,,Paul
Paul Alrod,Costa Rica,1992-03-23,,,Latin America,Caster,Nami,Caster,False,False,1.0,"Paul Alrod, Paul (Pablo Álvarez)"
Paul227,Germany,2003-02-13,Europe,,EMEA,Mid,,Mid,False,False,1.0,Paul227
Paulaeal,Chile,,LAS,,Latin America,Owner,Vayne,Owner,True,False,,"Paulaeal, Naet"
PAULOLAX,France,1992-12-26,Europe,RED OUAT,EMEA,Caster,"Yorick,Darius,Bard,Braum",Coach,False,False,1.0,PAULOLAX
Paulopette,France,,,,Europe,Jungle,,Jungle,True,False,,Paulopette
Pauporter,Spain,2004-09-22,,Barça eSports,EMEA,Mid,,Mid,False,False,1.0,Pauporter
Paush,Tunisia,,,,,Support,,Support,True,False,,Paush
Pavelov,Poland,2003-01-25,Europe,Vitality.Bee,EMEA,Coach,"Gragas,Bard",Positional Coach,False,False,1.0,"Pavelov, PAWEŁ PL, PAWEŁPL"
Pavkyn,Czech Republic,2000-03-08,,,Europe,Jungle,"Graves,Hecarim,Karthus,Zac",Jungle,True,False,1.0,Pavkyn
Pavlikac,Czech Republic,,,,EMEA,Jungle,,Jungle,False,False,,Pavlikac
Pawko,Poland,2001-05-15,,,Europe,Bot,Ezreal,Bot,True,False,1.0,Pawko
PawN,South Korea,1997-01-26,,,Korea,Coach,"Fizz,Nidalee,Jayce",Coach,False,False,1.0,"PawN, WonSEok, WonSuck"
Pawned,Spain,,Europe,,EMEA,Coach,,Assistant Coach,False,False,,Pawned
PawnGypsy,United States,1993-02-09,,,North America,Top,"Rengar,Olaf,Irelia",Top,True,False,1.0,PawnGypsy
pawp,Turkey,2000-06-10,Europe,,EMEA,Jungle,"Lee Sin,Nidalee,Jarvan IV,Rek'Sai",Jungle,False,False,1.0,Pawp
Paws,Australia,,,,Oceania,Support,,Support,True,False,,Paws
Pawsu,United States,,,,North America,Bot,,Bot,True,False,,Pawsu
Paxii,Germany,1996-08-30,Europe,BRUTE,EMEA,Coach,,Positional Coach,False,False,1.0,Paxii
Payne,Taiwan,1992-03-07,Taiwan,,Asia Pacific,Coach,,Coach,True,False,1.0,"Payne, Hua (Tai Hao-Chuan)"
Paz,Japan,1996-12-06,Japan,Sengoku Gaming,Asia Pacific,Coach,Fiora,Coach,False,False,1.0,"Paz, Intension, TRIPIS 1, TRIPIS1, Zenoo"
Pbd,Turkey,1997-08-12,Turkey,,EMEA,Support,,Support,False,False,1.0,Pbd
pbO,Brazil,,,,Brazil,Bot,"Graves,Sivir,Kalista,Tristana",Bot,True,False,,PbO
PCL (Kostyantyn Dudarchuk),Ukraine,2000-01-25,,Illinois State University,North America,Top,,Top,False,False,1.0,"PCL (Kostyantyn Dudarchuk), PieCakeLord"
PCmaz,Taiwan,,,,LMS,Support,,Support,True,False,,PCmaz
PDD,China,1991-04-17,,,China,Owner,"Jarvan IV,Vladimir,Shen,Yorick,Kha'Zix,Rumble,Zac",Founder;Head Coach,False,False,1.0,"PDD, PDD520"
Pdr,Brazil,,,,Brazil,Coach,,Coach,True,False,,Pdr
Pdrolo,Ecuador,,,,LAN,Top,,Top,True,False,,Pdrolo
peace (Hong Yoon-seon),South Korea,2004-10-15,,,Korea,Support,,Support,False,False,1.0,Peace (Hong Yoon-seon)
Peace (Lin Shang-Ren),China,2000-07-07,,,China,Support,,Support,True,False,1.0,"Peace (Lin Shang-Ren), Panfeng, Xyy"
Peaceful,Lithuania,,Europe,,EMEA,Support,,Bot,False,False,,"Peaceful, Justas"
PeaceMaker,Brazil,,Europe,,EMEA,Support,,Support,False,False,,"PeaceMaker, Limitless (Lucas Perez), Metro Fan"
Peach,South Korea,2000-03-28,,GIANTX Academy,Korea,Jungle,,Jungle,False,False,1.0,Peach
Peachy,Mexico,,,INFINITY Female,Latin America,Mid,"Rumble,Seraphine,Lux,Nidalee",Mid,False,False,,Peachy
peagod,Turkey,,Turkey,NONAME (Turkish Team),EMEA,Bot,,Bot,False,False,,Peagod
Peaker,Austria,,Europe,,EMEA,Mid,,Mid,False,False,,Peaker
Peanut,South Korea,1998-02-03,,Hanwha Life Esports,Korea,Jungle,"Elise,Lee Sin,Nidalee,Sejuani,Kha'Zix,Olaf",Jungle,False,False,1.0,"Peanut, Peanut0"
Peanut (Marcus Edborg),Sweden,,,,Europe,Jungle,,Jungle,True,False,,Peanut (Marcus Edborg)
Peap,Denmark,,,,Europe,Support,,Support,True,False,,Peap
Peche,Costa Rica,,,,Latin America,Jungle,,Jungle,True,False,,Peche
Peche (Quantin Piveteau),,,Europe,Kinder ratio,EMEA,Jungle,,Jungle,False,False,,Peche (Quantin Piveteau)
Pechengo,Argentina,,,,LAS,Top,,Top,True,False,,Pechengo
Pecho Frio,Mexico,,,,Latin America,Bot,,Bot,True,False,,Pecho Frio
Pechowy,Chile,,,,LAS,Jungle,,Jungle,True,False,,Pechowy
Pecko,South Korea,,,,Korea,Bot,,Bot,True,False,,"Pecko, Speedcore"
Peco (Bernardo Reis),Brazil,,,RED Academy,Brazil,Mid,"Twisted Fate,Corki,Viktor,Akali",Mid,False,False,,Peco (Bernardo Reis)
Peco (Ömer Türgüt),Germany,2001-06-18,Turkey,FC Schalke 04 Esports,EMEA,Bot,,Bot,False,False,1.0,"Peco (Ömer Türgüt), Pec0, Practice (Ömer Türgüt)"
Pecora,,2000-08-15,Europe,,EMEA,Bot,"Jinx,Kog'Maw,Ashe",Bot,False,False,1.0,Pecora
Pecotte1,Japan,,,,Japan,Support,,Support,True,False,,"Pecotte1, Pekopeko"
PederseNN,Denmark,,Europe,,EMEA,Support,,Support,False,False,,"PederseNN, FLEXIBLE, Pedersen"
Pedro,Puerto Rico,,,,LAN,Top,"Cassiopeia,Riven,Gnar",Top,True,False,,Pedro
Pedro (Pedro Canela),United States,,,,North America,Support,"Thresh,Braum,Leona",Support,False,False,,Pedro (Pedro Canela)
Peeco2,Italy,2002-11-22,,,Europe,Jungle,,Jungle,True,False,1.0,"Peeco2, KiritoKun22, Peeco"
PeehSmite,Hong Kong,,,,LMS,Jungle,,Jungle,True,False,,"PeehSmite, One2Free"
Peep,Argentina,2000-11-08,,,Latin America,Bot,,Bot,False,False,1.0,"Peep, EIijah, Elijah (Lucas Quintanilla)"
Peet,,,,,Europe,Mid,,Mid,True,False,,Peet
Pegasus,Greece,,Europe,Zerolag Esports,EMEA,Manager,"Blitzcrank,Nautilus,Cassiopeia,Kai'Sa",Team Manager,False,False,,Pegasus
Pehrson,Denmark,1997-11-28,Europe,,EMEA,Support,"Nautilus,Braum,Pyke,Rakan",Support,False,False,1.0,Pehrson
Peinik,Czech Republic,2000-12-29,Europe,,EMEA,Support,,Support,False,False,1.0,Peinik
Pekes,Spain,,Europe,,EMEA,Jungle,,Jungle,False,False,,Pekes
Peki,Serbia,,Europe,,EMEA,Support,,Support,False,False,,Peki
PekiDo,Ukraine,,,,CIS,Mid,,Mid,True,False,,PekiDo
Pekin Woof,United States,1994-04-09,,,North America,Mid,"Zoe,Veigar,Aurelion Sol",Mid,True,False,1.0,Pekin Woof
Pekls,United States,,,,North America,Coach,,Head Coach;Bot,True,False,,Pekls
Pelirrojo,Colombia,1998-05-11,Latin America North,,Latin America,Mid,"Diana,Zoe,Galio",Mid,True,False,1.0,"Pelirrojo, Wan (Pedro Molina)"
Pelo,France,2000-10-22,Europe,,EMEA,Jungle,"Lee Sin,Nidalee,Graves",Jungle,False,False,1.0,Pelo
Pelu (Jonathan Morales Campero),Spain,,Europe,,EMEA,Top,,Top,False,False,,Pelu (Jonathan Morales Campero)
Peluca,Argentina,1999-11-03,,,Latin America,Top,,Top,True,False,1.0,"Peluca, PeIuca"
Peluchin,Mexico,1993-09-14,LAN,,Latin America,Coach,"Caitlyn,Vayne,Jinx,Zed",Head Coach,False,False,1.0,"Peluchin, Diesel (Roberto Ponce), ELPERRON, Generalmint, Roberto, RUA"
Pencil,Italy,,Europe,HVFC Bakeca Academy,EMEA,Owner,,Head Coach,False,False,,Pencil
Pendulum,Peru,1997-04-27,Latin America South,,Latin America,Mid,"Syndra,Ahri,Taliyah,Swain",Mid,True,False,1.0,Pendulum
Peng (Lin Xiao-Peng),China,,,,China,Support,,Support,True,False,,Peng (Lin Xiao-Peng)
Peng (Peng Yi-Bo),China,1995-11-25,,,China,Mid,,Mid,True,False,1.0,"Peng (Peng Yi-Bo), 妄言"
Peng (Pengcheng Shen),China,2004-03-18,Europe,GameWard,EMEA,Mid,"Ahri,Syndra,Orianna",Mid,False,False,1.0,"Peng (Pengcheng Shen), Peng04"
Peng (Yoon Young-min),South Korea,,,,Korea,Mid,,Mid,True,False,,Peng (Yoon Young-min)
Pengu,United States,,,Columbia College,North America,Jungle,,Jungle,False,False,,Pengu
Penguin (Mario Mendoza),Venezuela,1996-08-01,Latin America North,,Latin America,Coach,"Orianna,Syndra,Yasuo,Azir",Strategic Coach,False,False,1.0,"Penguin (Mario Mendoza), Schmerz"
Penguin (Nguyễn Đăng Khoa),Vietnam,2002-08-10,,,Vietnam,Jungle,,Jungle,True,False,1.0,"Penguin (Nguyễn Đăng Khoa), Awaken (Nguyễn Đăng Khoa), Dk, Happy game, Sevenk"
Penguin (Razvan Nicoara),Romania,,,,Europe,Coach,,Mid;Coach,True,False,,"Penguin (Razvan Nicoara), Pinguin (Razvan Nicoara)"
Penguin (Stephen Downhower),United States,,,,North America,Jungle,,Jungle,True,False,,"Penguin (Stephen Downhower), Pluckin Penguin"
Penguin (Zhao Shuai),China,1997-07-07,,,China,Jungle,,Jungle,True,False,1.0,"Penguin (Zhao Shuai), Ko, Qie"
Penguinn,Singapore,,,,SEA,Jungle,,Jungle,True,False,,Penguinn
Pensax,Turkey,,Turkey,,EMEA,Coach,,Head Coach,True,False,,Pensax
PENTA (Marko Radović),Serbia,1997-06-30,,,Europe,Support,"Bard,Alistar,Neeko,Rakan",Support,True,False,1.0,PENTA (Marko Radović)
PentaQ,China,1995-10-11,,,China,Bot,,Bot,True,False,1.0,"PentaQ, Q, QPqTq"
Peop,Turkey,2003-09-01,Turkey,,EMEA,Top,,Top,False,False,1.0,Peop
People,Brazil,,,,Brazil,Support,,Support,False,False,,"People, PeopleFace"
Pepe (Eowin van Dijk),Netherlands,,,A One Man Army,EMEA,Jungle,,Jungle,False,False,,"Pepe (Eowin van Dijk), PEPE ABUSER"
Pepe Chile,Uruguay,,,,Latin America,Support,,Support,True,False,,"Pepe Chile, PepeChilee"
Pepero,Taiwan,1999-04-09,Taiwan,,PCS,Bot,,Bot,False,False,1.0,"Pepero, HuTao, Pocky"
Pepi (Josef Nosek),Czech Republic,2002-05-06,Europe,EXILE esports,EMEA,Jungle,,Jungle,False,False,1.0,"Pepi (Josef Nosek), Lenochodec, Lenochodecc"
Pepi (Miro Rauten),Finland,2002-02-25,Europe,,EMEA,Mid,"Aatrox,Akali,LeBlanc",Mid,False,False,1.0,Pepi (Miro Rauten)
Pepi (Péter Petró),Hungary,,,,Europe,Support,,Support,True,False,,Pepi (Péter Petró)
Pepiinero,Spain,,,,Europe,Bot,"Varus,Ezreal,Ryze,LeBlanc",Bot,True,False,,"Pepiinero, PePii, PePiiNG, PEPINERO, Pπ, Xpepii"
PepiineroJr,Spain,,,ZETA,EMEA,Mid,,Mid,False,False,,"PepiineroJr, Pepi Jr, Pepiinero Jr, Pepiinero Jr., Pepinero jr"
Pepito,France,1997-09-19,Europe,,EMEA,Mid,,Mid,False,False,1.0,"Pepito, IPepito"
Peppe,Greece,2002-07-19,Europe,Team Phantasma,EMEA,Mid,,Mid,False,False,1.0,"Peppe, Pepe (Petros Berdebes), Peperinos, Peppe729, Pepperinos"
Perceval,Netherlands,1999-09-13,,,EMEA,Top,Shen,Top,False,False,1.0,Perceval
Perci,Turkey,2001-07-31,,,Turkey,Jungle,"Olaf,Elise,Kha'Zix",Jungle,True,False,1.0,Perci
Percy (Mario Cammarota),Italy,1998-09-20,Europe,Underworld Undeads,EMEA,Support,,Support,False,False,1.0,Percy (Mario Cammarota)
Perfect (Aleksandr Karagodov),Estonia,,,,Europe,Support,,Support,True,False,,"Perfect (Aleksandr Karagodov), Zenith (Aleksandr Karagodov)"
Perfect (Alexandros Stamatakis),Greece,,,,Europe,Support,,Support,True,False,,"Perfect (Alexandros Stamatakis), 5k perfect"
PerfecT (Lee Seung-min),South Korea,2004-05-17,,KT Rolster,Korea,Top,,Top,False,False,1.0,"PerfecT (Lee Seung-min), Czar, TOP (Lee Seung-min)"
PerfectBeing,Tunisia,2001-02-02,,,EMEA,Mid,,Mid,False,False,1.0,"PerfectBeing, Lililili, LILLILLILLI, Perfect Being"
Perfection (Jan Lüdiger),Germany,,,,Europe,Jungle,,Jungle,True,False,,Perfection (Jan Lüdiger)
Perfume,Taiwan,,,,LMS,Support,,Support,True,False,,Perfume
Perhapstky,Hong Kong,,,,LMS,Support,,Support,True,False,,"Perhapstky, Perhaps"
Pericolo,Italy,2001-01-08,,Lobstar,EMEA,,"Draven,Jhin,Varus,Aphelios",Bot,False,False,1.0,Pericolo
Perisha,Serbia,,,,Europe,Support,,Support,True,False,,Perisha
PerkyPie,United States,,,,North America,Bot,,Bot,False,False,,PerkyPie
Perkz,Croatia,1998-09-30,Europe,,EMEA,Mid,"Lucian,Yasuo,LeBlanc",Mid,False,False,1.0,"Perkz, Luka the Bazooka, Perks, Uma Jan"
Perle,Japan,,Japan,V3 Esports Academy,PCS,Top,,Top,False,False,,"Perle, Peale"
Perro,Chile,2000-03-04,,,Latin America,Bot,"Draven,Miss Fortune,Cassiopeia,Samira",Bot,True,False,1.0,"Perro, Faceless Void"
Perry (Perry Norman),United States,2004-04-22,,,North America,Jungle,"Kayn,Amumu",Jungle,False,False,1.0,"Perry (Perry Norman), GhostlyCat"
Perry HVBD,Belgium,1999-12-07,,,Europe,Top,Nasus,Top,True,False,1.0,Perry HVBD
Perseo,Peru,,Latin America South,,Latin America,Top,,Top,True,False,,Perseo
Persistent,Turkey,1998-09-28,,,Turkey,Mid,"Vladimir,Syndra,Viktor",Top,True,False,1.0,Persistent
Pery,Poland,,Europe,,EMEA,Coach,,Head of League of Legends,False,False,,Pery
Perz,Brazil,,,,Brazil,Bot,,Bot,False,False,,Perz
Pescaly Maximal,South Korea,,,,Korea,Top,,Top,True,False,,Pescaly Maximal
PesE,Italy,,Europe,,EMEA,Top,"Gangplank,Kled,Camille",Top,False,False,,"PesE, Peese, Pes3"
Pesho,North Macedonia,,Europe,,EMEA,Mid,,Mid,False,False,,"Pesho, ChosenONF1rE, PeshoTheResho"
PessChap,Singapore,,,,SEA,Bot,,Bot,True,False,,"PessChap, PessimisticChapp"
Pessoa,United States,2001-07-21,,North Carolina State University,North America,Coach,"Trundle,Seraphine,Janna",Head Coach,False,False,1.0,Pessoa
Pet,Peru,2003-03-14,,Spirituals,Latin America,Top,,Top,False,False,1.0,Pet
Petelgeyz,Russia,,,,CIS,Top,,Top,True,False,,Petelgeyz
Peter (Jeong Yoon-su),South Korea,2003-04-28,,Nongshim Esports Academy,Korea,Support,,Support,False,False,1.0,"Peter (Jeong Yoon-su), SUP (Jeong Yoon-su)"
Peter Dun,United Kingdom,1987-07-24,Europe,Team Heretics,EMEA,Coach,,Head Coach,False,False,1.0,"Peter Dun, Peter (Peter Dun)"
Peter Zhang,China,1993-09-02,,,North America,Manager,,Head of Player Development,True,False,1.0,"Peter Zhang, Peter (Peter Zhang), PtotheD"
Petipino,Czech Republic,,Europe,,EMEA,Top,"Evelynn,Diana,Rumble",Top,False,False,,Petipino
Petis,Czech Republic,2002-03-09,Europe,,EMEA,Support,Rakan,Support,False,False,1.0,Petis
petitpois,Canada,2002-12-31,,,North America,Jungle,"Gragas,Graves",Jungle,True,False,1.0,Petitpois
Petland,Vietnam,1997-06-13,Southeast Asia,,Vietnam,Mid,,Mid,True,False,1.0,"Petland, Quang Huy"
Peto,Slovakia,,,BRUTE,EMEA,Support,,Support,False,False,,Peto
Petoska,Finland,2002-05-14,Europe,,EMEA,Top,,Top,False,False,1.0,Petoska
Petrichor,Turkey,,Turkey,,EMEA,Support,,Support,True,False,,Petrichor
Petro,Argentina,,,,Latin America,Mid,,Mid,True,False,,Petro
PetrParléř,Czech Republic,,Europe,,EMEA,Top,,Top,False,False,,PetrParléř
PewPewSolari,Russia,,,,CIS,Mid,,Mid,True,False,,"PewPewSolari, PewPewSоlari"
Pexe,Lithuania,,,,Europe,Mid,,Mid,True,False,,Pexe
Pey,Argentina,2002-05-30,,Malvinas Gaming Academy,Latin America,Bot,,Bot,False,False,1.0,"Pey, 1pey, Peyshon"
Peyz,South Korea,2005-12-05,,Gen.G,Korea,Bot,"Kai'Sa,Aphelios,Kalista,Zeri,Ezreal",Bot,False,False,1.0,Peyz
Pez,South Korea,2003-09-24,,,Korea,Support,,Support,False,False,1.0,Pez
PF,Philippines,,,,SEA,Jungle,Jarvan IV,Jungle,True,False,,PF
PFI,United Kingdom,,,,Europe,Jungle,,Jungle,True,False,,"PFI, PlayFocusImprove"
PgB,United States,,,,North America,Support,,Support,True,False,,"PgB, PGoldenBoy, PureGoldenBoy"
Pgggggg,China,,,,China,Top,,Top,True,False,,Pgggggg
Ph0bos,Greece,,Europe,,EMEA,Coach,,Head Coach,False,False,,"Ph0bos, Phobos"
Phaell,,,,Venus (Turkish Team),EMEA,Mid,,Mid,False,False,,Phaell
Phanix,Italy,,,,EMEA,Coach,,Coach,False,False,,Phanix
Phantasia,Brazil,,,,Brazil,Top,,Top,True,False,,"Phantasia, Wired"
Phantom (Gen Takahashi),Japan,,,,Japan,Support,,Support,True,False,,"Phantom (Gen Takahashi), PCG PhantomDeath, PhantomDeath"
phantom8214,United States,,,Miami University,North America,Bot,,Bot,False,False,,Phantom8214
PhantomGG,United States,1995-09-01,,,North America,Coach,"Ahri,Swain,Akali,Galio",Coach,False,False,1.0,"PhantomGG, User:Traine h3ka/PhantomGG"
PhantomJo,Germany,,,,Europe,Jungle,,Jungle,True,False,,"PhantomJo, PhantomYaaa, Phantomyo"
